"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"211231","21123","010802020203","MA,NH","Tully River",121.46,30012.51,"MA"
"14743","14743","010802020204","MA","Beaver Brook-Millers River",95.23,23532.59,"MA"
"20885","20885","010802020205","MA","Mill Brook-Millers River",108.08,26708.07,"MA"
"20890","20890","010802020206","MA","Moss Brook-Millers River",74.48,18404.38,"MA"
"20887","20887","010802020207","MA","Lyons Brook-Millers River",88.96,21982.65,"MA"
"81119","81119","010802030105","MA,VT","Sherman Dam-Deerfield River",154.55,38189.06,"MA"
"811191","81119","010802030105","MA,VT","Sherman Dam-Deerfield River",154.55,38189.06,"MA"
"81120","81120","010802030201","MA,VT","Pelham Brook-Deerfield River",113.09,27943.98,"MA"
"811201","81120","010802030201","MA,VT","Pelham Brook-Deerfield River",113.09,27943.98,"MA"
"80889","80889","010802030202","MA","Cold River",81.98,20257.43,"MA"
"14402","14402","010802030203","MA","Chickley River",71.35,17631.3,"MA"
"86686","86686","010802030204","MA","Clesson Brook",55.12,13620.55,"MA"
"86452","86452","010802030205","MA","Mill Brook-Deerfield River",118.1,29182.75,"MA"
"86021","86021","010802030301","MA,VT","East Branch North River",140.21,34645.42,"MA"
"860211","86021","010802030301","MA,VT","East Branch North River",140.21,34645.42,"MA"
"86024","86024","010802030302","MA,VT","Taylor Brook-North River",100.42,24814.05,"MA"
"860241","86024","010802030302","MA,VT","Taylor Brook-North River",100.42,24814.05,"MA"
"14440","14440","010802030401","MA,VT","Upper Green River",96.9,23945.63,"MA"
"144401","14440","010802030401","MA,VT","Upper Green River",96.9,23945.63,"MA"
"86025","86025","010802030402","MA,VT","Lower Green River",134.94,33343.34,"MA"
"860251","86025","010802030402","MA,VT","Lower Green River",134.94,33343.34,"MA"
"80891","80891","010802030501","MA","South River",68.24,16862.72,"MA"
"80892","80892","010802030502","MA","Bear River-Deerfield River",129.2,31926.46,"MA"
"14399","14399","010802040101","MA","Middle Branch Swift River",27.69,6841.93,"MA"
"14403","14403","010802040102","MA","Headwaters East Branch Swift River",113.12,27953.68,"MA"
"80964","80964","010802040103","MA","East Branch Fever Brook",22.65,5596.27,"MA"
"80965","80965","010802040104","MA","Quabbin Reservoir-East Branch Swift River",194.64,48096.08,"MA"
"80967","80967","010802040105","MA","Jabish Brook",50.07,12371.41,"MA"
"80963","80963","010802040106","MA","Quabbin Reservoir-Swift River",150.94,37298.81,"MA"
"80971","80971","010802040201","MA","West Branch Ware River",43.35,10710.91,"MA"
"14404","14404","010802040202","MA","East Branch Ware River-Ware River",99.62,24616.82,"MA"
"80974","80974","010802040203","MA","Burnshirt River",80.54,19901.18,"MA"
"80975","80975","010802040204","MA","Prince River",36.33,8976.34,"MA"
"86538","86538","010802040205","MA","Winimusset Brook-Ware River",137.05,33866.1,"MA"
"81028","81028","010802040206","MA","Muddy Brook",51.72,12779.52,"MA"
"81029","81029","010802040207","MA","Danforth Brook-Ware River",115.95,28651.83,"MA"
"15513","15513","010802040301","MA","Sevenmile River",106.63,26349.9,"MA"
"14405","14405","010802040302","MA","Lake Lashaway-East Brookfield River",64.94,16047.02,"MA"
"86542","86542","010802040303","MA","Upper Quaboag River",102.99,25449.9,"MA"
"86565","86565","010802040304","MA","Mill Brook",45.19,11167.38,"MA"
"15514","15514","010802040305","MA","Middle Quaboag River",112.53,27805.74,"MA"
"155111","15511","010802040306","MA","Chicopee Brook",61.94,15305.82,"MA"
"14406","14406","010802040307","MA","Lower Quaboag River",55.4,13690.22,"MA"
"81030","81030","010802040401","MA","Headwaters Chicopee River",48.76,12048.33,"MA"
"81031","81031","010802040402","MA","Outlet Chicopee River",150.23,37122.52,"MA"
"81033","81033","010802050101","MA","Mill River",87.34,21582.04,"MA"
"80850","80850","010802050102","CT,MA","Pecousic Brook-Connecticut River",95.45,23585.17,"MA"
"808501","80850","010802050102","CT,MA","Pecousic Brook-Connecticut River",95.45,23585.17,"MA"
"15231","15231","010802050103","CT,MA","Muddy Brook",51.98,12844.82,"MA"
"152311","15231","010802050103","CT,MA","Muddy Brook",51.98,12844.82,"MA"
"53478","53478","010802050105","CT,MA","Freshwater Brook-Connecticut River",108.28,26755.69,"MA"
"534781","53478","010802050105","CT,MA","Freshwater Brook-Connecticut River",108.28,26755.69,"MA"
"37822","37822","010802050201","CT,MA","Upper Scantic River",126.35,31222,"MA"
"378221","37822","010802050201","CT,MA","Upper Scantic River",126.35,31222,"MA"
"81034","81034","010802060101","MA","Mill Brook-Westfield River",155.12,38331.63,"MA"
"86648","86648","010802060102","MA","Swift River",77.2,19077.56,"MA"
