"","huc12","states","name","areasqkm","areaacres"
"1","070200090402","IA,MN","Judicial Ditch Number Thirteen",53.46,13211.47
"2","070200030503","MN","West Branch Lac qui Parle River",42.55,10514.34
"3","070200030602","MN","County Ditch Number Thirtyfour",62.97,15561.22
"4","030701040701","GA","Upper Horse Creek",125.59,31033.21
"5","030701040506","GA","Crooked Creek",116.71,28839.94
"6","030701040603","GA","Mizell Creek-Ocmulgee River",198.76,49115.06
"7","070200030701","MN","County Ditch Number Twentynine A",82.87,20477.59
"8","070300040804","MN","Bear Creek-Snake River",96.46,23835.03
"9","030701040702","GA","Middle Horse Creek",148.35,36657.3
"10","070200030702","MN","County Ditch Number Seventynine-Lac qui Parle River",101.75,25142.88
"11","070200041102","MN","County Ditch Number Fiftynine",41.14,10165.69
"12","030701040804","GA","Gregeory Creek-Ocmulgee River",238.13,58843.6
"13","030701040805","GA","Coffee Branch-Ocmulgee River",122.04,30156.14
"14","030701040806","GA","Opossum Creek-Ocmulgee River",197.93,48910.51
"15","070200090401","IA,MN","Drainage Ditch Number 21",72.14,17827.25
"16","030901011102","FL","Tiger Lake",69.42,17153.2
"17","070200090403","IA,MN","County Ditch Number Seventyeight-Judicial Ditch Number Thirteen",79.58,19663.82
"18","030901010902","FL","030901010902",66.54,16441.8
"19","070300040601","MN","Headwaters Mud Creek",45.74,11302.67
"20","070300040602","MN","Mud Lake-Mud Creek",91.21,22538.6
"21","070200010901","SD","Punished Womans Lake",60.39,14922.3
"22","070200050503","MN","Lower Judicial Ditch Number Nineteen",28.71,7093.64
"23","070200050605","MN","County Ditch Number Eight-East Branch Chippewa River",152.74,37743.21
"24","070200110508","MN","Judicial Ditch Number Fortynine",70.31,17373.05
"25","070200010405","SD","Hartford Beach Creek",28.85,7128.53
"26","070200050604","MN","County Ditch Number Fifteen",174.66,43160.14
"27","070900070103","IL","070900070103-Green River",62.09,15342.1
"28","070300050401","MN","Forest Lake-Sunrise River",43.43,10732.69
"29","070900070402","IL","Fairfield Ditch Number 1-Green River",90.16,22279.74
"30","070700010403","WI","Little Saint Germain Creek",50.3,12428.41
"31","070700010201","WI","Headwaters Eagle River",95.92,23701.33
"32","070700011004","WI","Lake Nokomis-Tomahawk River",74.93,18514.48
"33","070700011102","WI","Headwaters Somo River",126.91,31361.23
"34","070700010501","WI","Lost Creek",57.72,14262.45
"35","070700010502","WI","Big Saint Germain Lake-Saint Germain River",125.23,30944.59
"36","070700010603","WI","Rhinelander Flowage-Wisconsin River",109.53,27065.27
"37","070700010705","WI","Headwaters North Branch Pelican River",69.75,17235.05
"38","070700010801","WI","Big Arbor Vitae Lake",56.88,14056.34
"39","070700011204","WI","Spirit River Flowage-Spirit River",156.11,38575.17
"40","070200070901","MN","Upper Minneopa Creek",122.83,30350.76
"41","070200070903","MN","Lower Minneopa Creek",41.62,10284.06
"42","070300051102","WI","Twin Lakes",39.22,9690.86
"43","070200071003","MN","Minnewankon Falls-Minnesota River",95.25,23536.14
"44","070300020404","WI","Birch Island Lake",55.86,13804.1
"45","070300050203","MN","Rush Lake-Rush Creek",91.31,22563.1
"46","070300050707","WI","Burns Creek-Apple River",108.66,26850.96
"47","070300050502","WI","North Fork Trade River",44.04,10882.27
"48","070300050705","WI","South Branch Beaver Brook",70.83,17503.68
"49","070300011004","MN","Little Hay Creek-Hay Creek",75.12,18563.18
"50","070300050805","WI","South Fish Lake",25.1,6203.04
"51","070300010106","WI","Lower Eau Claire River",95.48,23593.18
"52","070300010107","WI","Lord Creek-Saint Croix River",109.73,27114.38
"53","070300020206","WI","Little Mackay Creek",95.68,23644.17
"54","070300020302","WI","Nelson Lake-Totagatic River",99.14,24497.4
"55","070300020304","WI","Outlet Ounce River",92.62,22886.78
"56","070300020307","WI","Shell Creek",48.48,11980.25
"57","070300050808","WI","Apple Lake",33.25,8215.1
"58","070300051004","WI","South Fork Willow River",94.39,23325.34
"59","070200080203","MN","Town of Amiret",62.79,15516.51
"60","070300051005","WI","Oak Ridge Lake",35.07,8666.38
"61","070200030204","MN","Judicial Ditch Number One",56.51,13964.59
"62","070300010504","WI","Yellow Lake-Yellow River",80.38,19861.14
"63","070300030103","MN","West Branch Kettle River",101.59,25104.04
"64","070300030101","MN","Kettle Lake",47.34,11698.31
"65","070300010904","WI","Clam Lake-Clam River",85.89,21223.71
"66","070300020104","WI","070300020104",13.49,3333.83
"67","070200070501","MN","County Ditch Number Thirtyfour",58.72,14509.92
"68","070300030205","MN","Outlet Moose Horn River",80.23,19825.99
"69","070300010105","WI","Upper Eau Claire River",94.26,23292.64
"70","070300010604","MN,WI","Bjorks Creek-Hay Creek",134.44,33219.84
"71","070200080301","MN","Headwaters Plum Creek",74.76,18472.93
