"","X","huc12","states","name","areasqkm","areaacres"
"16296","16296","050100010205","NY,PA","Little Genesee Creek",112.66,27839.24
"16297","16297","050100010207","NY,PA","Outlet Oswayo Creek",136.7,33779.01
"16298","16298","050100010311","NY,PA","Indian Creek-Allegheny River",76.89,18999.54
"16301","16301","050100020105","NY","Blaisdell Creek-Conewango Creek",34.41,8503.15
"16336","16336","050100010505","NY","Chipmunk Creek-Allegheny River",106.94,26426.43
"16345","16345","050100010504","NY","Fourmile Creek-Allegheny River",114.98,28412.87
"16346","16346","050100010602","NY,PA","West Branch Tunungwant Creek",108.98,26929.68
"16357","16357","050100020102","NY","Slab City Creek",67.94,16789.19
"16360","16360","050100010703","NY","Forks Creek",67.53,16686.83
"16372","16372","050100020206","NY","Bemus Creek-Chautauqua Lake",85.88,21222.12
"16375","16375","050100020203","NY","Wing Creek-Prendergast Creek",60.22,14880.62
"16377","16377","050100020207","NY","Chautauqua Lake-Chadakoin River",97.01,23971.91
"16378","16378","050100020301","NY","Bear Lake Outlet",84.42,20860.94
"16379","16379","050100020303","NY","Upper Cassadaga Creek",96.76,23910.5
"16380","16380","050100020401","NY","Mud Creek",67.62,16708.42
"20866","20866","020401040306","NY","Turner Brook-Bush Kill",50.16,12395.92
"20893","20893","020401020104","NY","Lower Willowemoc Creek",95.73,23654.18
"20894","20894","020401020102","NY","Upper Willowemoc Creek",72.56,17930.56
"20895","20895","020401020103","NY","Middle Willowemoc Creek",92.08,22753.5
"20896","20896","020401010301","NY","Cold Spring Creek",79.68,19689.14
"20897","20897","020401010304","NY","Big Hollow-West Branch Delaware River",57.24,14145.32
"20898","20898","020401020306","NY","Huckleberry Brook-East Branch Delaware River",68.24,16862.65
"20899","20899","020401020403","NY","Barkaboom Stream-East Branch Delaware River",71.4,17643.06
"20900","20900","020401020405","NY","Holliday Brook-East Branch Delaware River",91.96,22723.11
"20901","20901","020401020504","NY","Read Creek",44.58,11016.31
"20902","20902","020401020506","NY","Cadosia Creek",46.73,11546.38
"20903","20903","020401040102","NY","East Mongaup River",67.52,16685.55
"20904","20904","020401040104","NY","Swinging Bridge Reservoir-Mongaup River",121.29,29972.39
"20906","20906","020401040201","NY","Gumaer Brook-Basher Kill",64.13,15847.28
"20908","20908","020401040302","NY","East Branch Neversink River",71.38,17638.55
"20910","20910","020401040303","NY","Neversink River",78.9,19496.63
"20911","20911","020401040305","NY","Upper Neversink River",119.95,29639.99
"20916","20916","020401040503","NY","Mill Brook",50.49,12477.4
"20917","20917","020401040307","NY","Middle Neversink River",115.25,28479.91
