"","huc6","states","name","areasqkm","areaacres"
"1","050902","IN,KY,OH","Middle Ohio-Little Miami",13643.36,3371345.36
"2","030201","NC","Pamlico",16621.64,4107291.84
"3","031501","AL,GA,TN","Coosa-Tallapoosa",38446.45,9500315.6
"4","050800","IN,OH","Great Miami",13906.33,3436324.97
"5","051201","IL,IN,OH","Wabash",53733.26,13277767.04
"6","031403","AL,FL","Escambia",10994.82,2716877.83
"7","051202","IN","Patoka-White",31615.58,7812372.31
"8","111402","AR,LA,TX","Red-Saline",19941.45,4927634.35
"9","080702","LA,MS","Lake Maurepas",12414.83,3067768.77
"10","080902","LA,MS","Lake Pontchartrain",12022.88,2970916.48
"11","120402","LA,TX","Galveston Bay-Sabine Lake",11142.31,2753322.36
"12","121004","TX","Central Texas Coastal",14884.67,3678079.85
"13","010600","MA,ME,NH","Saco",12568.1,3105641.36
"14","140200","CO","Gunnison",20790.38,5137409.78
"15","051402","IL,IN,KY","Lower Ohio",16889,4173360.14
"16","051401","IN,KY","Lower Ohio-Salt",15743.79,3890372.9
"17","080302","LA,MS,TN","Yazoo",34837.21,8608455.29
"18","090100","CN,ND","Souris",50118.7,12384588.34
"19","031800","LA,MS","Pearl",22500.88,5560084.15
"20","080703","LA","Lower Grand",2058.66,508704.36
"21","100401","MT","Fort Peck Lake",36271.51,8962876.66
"22","100901","MT,WY","Tongue",14004.75,3460645.01
"23","140600","CO,UT","Lower Green",37701.49,9316232.86
"24","071000","IA,MN,MO","Des Moines",37442.48,9252230.09
"25","070200","IA,MN,ND,SD","Minnesota",44050.32,10885061.12
"26","030202","NC","Neuse",15703.31,3880368.93
"27","030203","NC","Onslow Bay",4660.72,1151686.92
"28","030101","NC,VA","Roanoke",25297.03,6251026.96
"29","170102","CN,ID,MT,WA","Pend Oreille",67599.05,16704074.56
"30","071100","IA,IL,MO","Upper Mississippi-Salt",26108.93,6451651.18
"31","180901","CA,NV","Mono-Owens Lakes",11331.88,2800166.29
"32","170502","ID,OR","Middle Snake-Powder",10645.59,2630579.18
"33","170601","ID,OR,WA","Lower Snake",30197.95,7462068.7
"34","101702","IA,MN,NE,SD","Big Sioux",22922.22,5664198.32
"35","101301","ND,SD","Lake Oahe",42197.42,10427199.81
"36","101401","NE,SD","Fort Randall Reservoir",26262.94,6489708.74
"37","200100","HI","Hawaii",13190.64,3259475.8
"38","120904","TX","San Bernard Coastal",5231.89,1292827.7
"39","200200","HI","Maui",3242.72,801293.55
"40","102100","NE","Loup",39090.5,9659463.25
"41","102200","NE","Elkhorn",18128.39,4479618.8
"42","110600","KS,OK","Arkansas-Keystone",25394.37,6275080.97
"43","110701","KS,OK","Verdigris",21294.86,5262070.56
"44","171001","OR,WA","Washington Coastal",17725.11,4379966.05
"45","210100","PR","Puerto Rico",13652.65,3373640.59
"46","190201","AK,CN","Copper River",67651.22,16716964.7
"47","030902","FL","Southern Florida",41838.31,10338461.58
"48","200300","HI","Kahoolawe",495.74,122499.65
"49","020700","DC,MD,PA,VA,WV","Potomac",38018.6,9394591.89
"50","010300","CN,ME","Kennebec",15289.71,3778167.04
"51","010400","CN,ME,NH","Androscoggin",9137.3,2257874.41
"52","010801","CN,ME,NH,VT","Upper Connecticut",16216.64,4007215.04
"53","080103","MO","Town of Madrid-Saint Johns Bayou",1782.88,440557.74
"54","031200","FL,GA","Ochlockonee",9834.86,2430245.02
"55","031300","AL,FL,GA","Apalachicola",53433.76,13203757.9
"56","030802","FL","East Florida Coastal",6779.8,1675324.47
"57","030801","FL","St. Johns",24780.82,6123469.59
"58","031002","FL","Tampa Bay",17994.24,4446470.26
"59","031101","FL,GA","Aucilla-Waccasassa",11146.71,2754408.75
"60","051001","KY","Licking",9597.78,2371661.66
