"","huc14","states","name","areasqkm","areaacres"
"4442","19010104010802","AK","19010104010802",26.19,6472.89
"4443","19010104020103","AK","19010104020103",13.3,3286.22
"4444","19010104040104","AK","Lower East Fork Anan Creek",37.67,9308.15
"4445","19010104040105","AK","Lower Anan Creek",30.21,7464.91
"4446","19010104050101","AK","Rainbow Lake",10.35,2557.05
"4447","19010104020106","AK","19010104020106-Mount Cloud",27.28,6741.26
"4448","19010104020102","AK","19010104020102",14.24,3518.05
"4449","19010104010804","AK","19010104010804",3.94,973.17
"4450","19010204080202","AK","19010204080202",6.72,1659.76
"4451","19010104040502","AK","Deer Island-Frontal Ernest Sound",31.9,7882.06
"4452","19010104040602","AK","19010104040602",5.07,1251.93
"4453","19010104010702","AK","19010104010702",12.26,3029.67
"4454","19010104010701","AK","Upper Aaron Creek",38.63,9544.83
"4455","19010104010101","AK","19010104010101",21.77,5378.66
"4456","19010104030202","AK","19010104030202",25.82,6380.16
"4457","19010104030302","AK","Upper Eagle River",22.27,5503.76
"4458","19010104010803","AK","19010104010803",28.5,7043.03
"4459","19010104010806","AK","Berg Bay-Frontal Blake Channel",46.42,11470.67
"4460","19010204020201","AK","19010204020201",16.44,4062.02
"4461","19010204080201","AK","Mount Robert Barron",12,2965.02
"4462","19010104040403","AK","Lake Helen",20.37,5032.71
"4463","19010204030404","AK","19010204030404",10.85,2681.19
"4464","19010104020705","AK","19010104020705",14.75,3644
"4465","19010104020701","AK","Upper White River",17.84,4409.54
"4466","19010204060501","AK","19010204060501",16.6,4101.78
"4467","19010204050102","AK","19010204050102",28.51,7045.43
"4468","19010104030304","AK","Lower Eagle River",31.27,7727.46
"4469","19010406020501","AK","19010406020501-Grand Plateau Glacier",25.83,6383.06
"4470","19010104030402","AK","Campbell Lake",32.9,8130.92
"4471","19010104020706","AK","19010104020706",25.06,6192.82
"4472","07140204050303","IL","Village of Hamel",25.34,6262.51
"4473","07140204050302","IL","Village of Alhambra ",23.44,5792.34
"4474","19010104030101","AK","Headwaters Harding River",33.98,8396.72
"4475","19010204040101","AK","19010204040101",18.85,4658.83
"4476","07140204050301","IL","Village of Worden-Silver Creek",32.48,8024.89
"4477","19010104010501","AK","19010104010501",32.46,8020.47
"4478","19010104020202","AK","19010104020202",21.9,5411.02
"4479","19010104040402","AK","19010104040402-Table Mountain ",3.95,976.12
