"","huc8","states","name","areasqkm","areaacres"
"1","04080204","MI","Flint",3446.25,851585.17
"2","04090003","MI","Clinton",2064.16,510065.3
"3","04030106","MI,WI","Brule",2724.63,673271.29
"4","18100204","CA,MX","Salton Sea",12974.45,3206053.92
"5","04020102","MI,WI","Ontonagon",3595.84,888549.87
"6","04020104","MI","Sturgeon",1891.23,467333.27
"7","04030107","MI","Michigamme",1875.47,463438.16
"8","04020105","MI","Dead-Kelsey",2354.47,581801.32
"9","18070303","CA","San Luis Rey-Escondido",2151.78,531716.64
"10","18070304","CA,MX","San Diego",4021.99,993854.01
"11","04160004","CN","Jackpine River-Frontal Lake Superior",1826.540328,451347.944595
"12","04160002","CN","Black Sturgeon River-Frontal Lake Superior",5088.95539,1257508.263034
"13","04170004","CN","Magpie River-Frontal Lake Superior",9360.34944,2312992.719088
"14","04020201","MI","Betsy-Chocolay",2979.45,736238.01
"15","08010300","MO","Town of Madrid-Saint Johns Bayou",1782.88,440557.74
"16","12020003","TX","Lower Neches",2856.62,705886.31
"17","18020162","CA","Upper Putah",1694.45,418708.46
"18","18050001","CA","Suisun Bay",1689.62,417513.6
"19","15030102","CA,NV","Piute Wash",2664.86,658499.67
"20","18100100","CA","Southern Mojave",22958.01,5673042.42
"21","18030003","CA","Middle Kern-Upper Tehachapi-Grapevine",6764.37,1671511.72
"22","18060003","CA","Carrizo Plain",1153.51,285037.29
"23","18060007","CA","Cuyama",2962.02,731931.29
"24","18070102","CA","Santa Clara",4210.82,1040515.49
"25","18090206","CA","Antelope-Fremont Valleys",8736.46,2158824.3
"26","18020002","CA","Upper Pit",6944.27,1715964.58
"27","18080002","CA,NV","Madeline Plains",2180.78,538882.88
"28","13100000","MX","Rio Conchos",67618.83755654,16708978.6487757
"29","13110000","MX","Rio Salado",60402.54110729,14925792.9619042
"30","13120000","MX","Rio San Juan",32796.24198727,8104127.88695426
"31","13040212","MX,TX","Amistad Reservoir",7161.65,1769679.71
"32","13080001","MX,TX","Elm-Sycamore",10630.79,2626923.65
"33","19010402","AK,CN","Bering Glacier",13228.04,3268716.92
"34","19010405","AK,CN","Yakutat Bay-Gulf of Alaska",17134.87,4234114.31
"35","19020203","AK","Prince William Sound",9768.89,2413942.44
"36","19020201","AK","Eastern Prince William Sound",14224.09,3514845.9
"37","19020104","AK","Lower Copper River",13907.09,3436513.35
"38","19020103","AK,CN","Chitina River",20987.36,5186083.84
"39","19070402","AK,CN","White River",12647.77,3125330
"40","17100203","OR","Wilson-Trusk-Nestuccu",2949.03,728720.19
"41","17100204","OR","Siletz-Yaquina",2270.87,561143.9
"42","17090003","OR","Upper Willamette",4849.49,1198333.82
"43","17090004","OR","Mckenzie",3468.3,857035.12
"44","17090007","OR","Middle Willamette",1841.4,455018.41
"45","17090008","OR","Yamhill",1998.92,493942.75
"46","19020102","AK","Middle Copper River",21094.46,5212549
"47","19020101","AK","Upper Copper River",11662.32,2881818.56
"48","04030101","WI","Manitowoc-Sheboygan",4221.85,1043240.4
"49","04320000","CN","Mojikit Lake-Ogoki River",14020.73,3464595.72
"50","04330000","CN","Long Lake-Kenogami River",4383.92,1083289.67
"51","11080001","CO,NM","Canadian Headwaters",4468.32,1104144.63
"52","11080008","NM","Revuelto",2087.39,515805.07
"53","11050001","KS,OK","Lower Cimarron-Eagle Chief",6272.35,1549928.91
"54","11100302","OK","Lower North Canadian",4842.71,1196657.43
"55","11110103","AR,OK","Illinois",4283.41,1058453.35
"56","11110105","AR,OK","Poteau",4934.41,1219318.92
"57","04030102","WI","Door-Kewaunee",1930.96,477150.1
"58","04060104","MI","Betsie-Platte",2061.33,509364.41
"59","04080202","MI","Pine",2656.32,656389.83
"60","04060103","MI","Manistee",5049.99,1247878.98
"61","04060105","MI","Boardman-Charlevoix",4321.07,1067757.83
"62","04080201","MI","Tittabawassee",3748.87,926364.88
"63","04080104","MI","Birch-Willow",1333.13,329422.95
"64","04090001","CN,MI","St. Clair",3276.17,809557.47
"65","04010101","CN,MN","Baptism-Brule",5801.93,1433687.03
"66","04060102","MI","Muskegon",7062.02,1745060.58
"67","04010201","MN,WI","St. Louis",7602.12,1878523.34
"68","04010301","MN,WI","Beartrap-Nemadji",4772.39,1179281.04
"69","04010302","MI,WI","Bad-Montreal",3370.65,832904.62
"70","04030204","WI","Lower Fox",1677.96,414632.59
"71","04190000","IL,IN,MI,WI","Lake Michigan",58249.47,14393744.21
"72","19030204","AK","Naknek",9707.58,2398794.27
"73","19030206","AK","Lake Iliamna",18529.71,4578786.4
"74","19020602","AK","Tuxedni-Kamishak Bays",8866.6,2190981.45
"75","19030205","AK","Lake Clark",8970.67,2216698.19
"76","19020800","AK","Cook Inlet",16959.15,4190693.59
"77","19020601","AK","Redoubt-Trading Bays",11511.9,2844649.42
"78","04060101","MI","Pere Marquette-White",5394.88,1333103.7
"79","19020504","AK","Yentna River",15872.76,3922240.97
"80","04090002","CN,MI","Lake St. Clair",5806.87,1434907.47
"81","04230006","CN","Ausable River-Frontal Lake Huron",3043.4,752039.27
"82","04250001","CN","Cedar Creek-Frontal Lake Erie",586.91,145028.72
"83","04290003","NY","Oswegatchie",2719.83,672083.11
"84","04290004","NY","Grass",1659.38,410040.75
"85","04290006","NY","St. Regis",2212.68,546763.93
"86","04290007","CN,NY","Salmon",1068.65,264068.15
"87","04300104","NY","Ausable River",1333.55,329526.42
"88","04300106","NY","Saranac River",1588.25,392465.89
"89","04300101","NY,VT","Mettawee River",1780.46,439961.17
"90","04300109","CN,NY,VT","Richelieu River",2565.51,633951.78
"91","04300102","VT","Otter Creek",2443.4,603775.62
"92","04300103","VT","Winooski River",2753.75,680466.87
"93","04300105","VT","Lamoille River",1868.64,461750.65
"94","04300107","CN,VT","Missiquoi River",2214.22,547145.47
