"","huc4","states","name","areasqkm","areaacres"
"100","1204","LA,TX","Galveston Bay-San Jacinto",21543.77,5323577.32
"101","1210","TX","Central Texas Coastal",47111.13,11641402.9
"102","0106","MA,ME,NH","Saco",12568.1,3105641.36
"103","1402","CO","Gunnison",20790.38,5137409.78
"104","1112","NM,OK,TX","Red Headwaters",38631.02,9545924.71
"105","1113","OK,TX","Red-Washita",64029.72,15822073.21
"106","1109","NM,OK,TX","Lower Canadian",43949.58,10860166.97
"107","0510","KY,VA","Kentucky-Licking",27638.73,6829672.48
"108","0511","KY,TN","Green",23917.14,5910048.89
"109","0603","AL,GA,MS,TN","Middle Tennessee-Elk",26844.83,6633495.96
"110","1023","IA,MN,NE,SD","Missouri-Little Sioux",24243.51,5990695.71
"111","0308","FL","St. Johns",31560.63,7798794.06
"112","1018","CO,NE,WY","North Platte",80472.24,19885104.91
"113","1025","CO,KS,NE","Republican",64521.11,15943498.38
"114","0421","CN","Wanipitai River-French River",19522.226729,4824047.283066
"115","1206","TX","Middle Brazos",40429.19,9990262.19
"116","1208","NM,TX","Upper Colorado",41643.48,10290318.51
"117","0502","MD,PA,WV","Monongahela",19104.34,4720781.87
"118","0312","FL,GA","Ochlockonee",9834.86,2430245.02
"119","0313","AL,FL,GA","Apalachicola",53433.76,13203757.91
"120","1029","KS,MO","Gasconade-Osage",48204.01,11911459.83
"121","1012","MT,NE,SD,WY","Cheyenne",62732.45,15501512.11
"122","0506","OH","Scioto",16866.72,4167853.83
"123","1203","TX","Trinity",46483.43,11486295.28
"124","1205","NM,TX","Brazos Headwaters",37559.75,9281208.56
"125","1003","CN,MT","Missouri-Marias",51422.18,12706686.73
"126","1010","MT,ND","Lower Yellowstone",35981.46,8891205.51
"127","1101","AR,MO","Upper White",57880.31,14302522.64
"128","1111","AR,OK","Lower Arkansas",40924.67,10112696.08
"129","1108","CO,NM,TX","Upper Canadian",32307.09,7983248.29
"130","1104","CO,KS,NM,OK","Upper Cimarron",31136.04,7693877.06
"131","1105","KS,OK","Lower Cimarron",18241.3,4507519.27
"132","1110","KS,NM,OK,TX","North Canadian",46502.39,11490980.91
"133","1606","CA,NV","Central Nevada Desert Basins",123604.12,30543216.09
"134","1605","CA,NV","Central Lahontan",32840.55,8115068.65
"135","1602","ID,NV,UT,WY","Great Salt Lake",74294.89,18358651.93
"136","0406","MI","Northeastern Lake Michigan",23889.28,5903165.5
"137","0409","CN,MI","St. Clair-Detroit",19098.65,4719375.54
"138","0408","MI","Southwestern Lake Huron",23665.79,5847939.22
"139","0403","MI,WI","Northwestern Lake Michigan",53659.17,13259458.07
"140","0108","CN,CT,MA,ME,NH,VT","Connecticut",29173.58,7208941.99
"141","0102","CN,ME","Penobscot",22299.6,5510345.83
"142","0314","AL,FL","Choctawhatchee-Escambia",40414.84,9986715.96
