"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"21080","21080","010400010305","ME,NH","Aziscohos Lake",211.61,52290.09,"ME"
"210801","21080","010400010305","ME,NH","Aziscohos Lake",211.61,52290.09,"ME"
"21076","21076","010400010306","ME,NH","Abbott Brook-Magalloway River",78.71,19448.68,"ME"
"210761","21076","010400010306","ME,NH","Abbott Brook-Magalloway River",78.71,19448.68,"ME"
"20838","20838","010400010406","ME,NH","Sturtevant Stream-Magalloway River",108.85,26897.33,"ME"
"208381","20838","010400010406","ME,NH","Sturtevant Stream-Magalloway River",108.85,26897.33,"ME"
"21417","21417","010400010601","ME,NH","Mollidgewock Brook",71.24,17602.83,"ME"
"214171","21417","010400010601","ME,NH","Mollidgewock Brook",71.24,17602.83,"ME"
"22826","22826","010400010603","ME,NH","Chickwolnepy Stream-Androscoggin Rvier",124.32,30719.1,"ME"
"228261","22826","010400010603","ME,NH","Chickwolnepy Stream-Androscoggin Rvier",124.32,30719.1,"ME"
"100236","100236","010400010604","ME,NH","Stearns Brook",96.24,23781.31,"ME"
"1002361","100236","010400010604","ME,NH","Stearns Brook",96.24,23781.31,"ME"
"100244","100244","010400020103","ME,NH","Lary Brook-Androscoggin River",174.75,43181.18,"ME"
"1002441","100244","010400020103","ME,NH","Lary Brook-Androscoggin River",174.75,43181.18,"ME"
"100246","100246","010400020201","ME,NH","Wild River",181.79,44920.74,"ME"
"1002461","100246","010400020201","ME,NH","Wild River",181.79,44920.74,"ME"
"100248","100248","010400020202","ME","Pleasant River",65.41,16162.32,"ME"
"100238","100238","010400020203","ME","Chapman Brook-Androscoggin River",128.01,31631.34,"ME"
"21152","21152","010400020204","ME","Alder River",75.73,18713.88,"ME"
"16769","16769","010400020205","ME","Sunday River",132.64,32775.58,"ME"
"20831","20831","010400020206","ME","Bear River",111.24,27488.68,"ME"
"16046","16046","010400020207","ME","Pond Stream-Androscoggin River",105.66,26110.13,"ME"
"22830","22830","010400020301","ME","Ellis Pond",79.08,19539.92,"ME"
"22831","22831","010400020302","ME","Black Brook",48.91,12086.48,"ME"
"20833","20833","010400020303","ME","West Branch Ellis River",137.59,33999.57,"ME"
"21340","21340","010400020304","ME","Horseshoe Brook-Ellis River",72.21,17843.44,"ME"
"21166","21166","010400020305","ME","Howe Brook-Ellis River",87.62,21652.19,"ME"
"21159","21159","010400020401","ME","Concord River",86.73,21430.78,"ME"
"22863","22863","010400020402","ME","East Branch Swift River",54.39,13439.77,"ME"
"22868","22868","010400020403","ME","Upper Swift River",122.48,30265.01,"ME"
"20834","20834","010400020404","ME","Middle Swift River",73.84,18247.44,"ME"
"22828","22828","010400020405","ME","Lower Swift River",73.83,18242.74,"ME"
"16770","16770","010400020406","ME","Logan Brook-Androscoggin River",120.34,29737.56,"ME"
"20684","20684","010400020501","ME","Webb Lake",197.96,48916.06,"ME"
"21342","21342","010400020502","ME","Webb River",145.8,36028.92,"ME"
"16042","16042","010400020503","ME","Spears Stream",59.91,14803.2,"ME"
"21158","21158","010400020504","ME","Whitney Brook",61.75,15259.7,"ME"
"22825","22825","010400020505","ME","Worthley Pond-Androscoggin River",163.89,40496.83,"ME"
"20832","20832","010400020601","ME","Sevenmile Stream",101.94,25189.46,"ME"
"16048","16048","010400020602","ME","Clay Brook-Androscoggin River",91.68,22655.39,"ME"
"16771","16771","010400020603","ME","Taylor Pond",91.68,22654.2,"ME"
"21154","21154","010400020604","ME","Pocasset Lake",61.04,15084.19,"ME"
"20746","20746","010400020605","ME","Androscoggin Lake",79.79,19716.83,"ME"
"21153","21153","010400020606","ME","Hunton Brook-Androscoggin River",100.21,24762.47,"ME"
"21151","21151","010400020701","ME","West Branch Nezinscot River",144.46,35697.88,"ME"
