"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"80830","80830","011000070202","RI","Usquepaug River",94.43,23333.15,"RI"
"80833","80833","011000070203","RI","Beaver River",31.97,7901.06,"RI"
"15319","15319","011000070204","RI","Usquepaug River-Pawcatuck River",54.93,13573.86,"RI"
"15320","15320","011000070205","CT,RI","Tomaquag Brook-Pawcatuck River",147.71,36499.38,"RI"
"153201","15320","011000070205","CT,RI","Tomaquag Brook-Pawcatuck River",147.71,36499.38,"RI"
"80543","80543","011000070301","CT,RI","Ashaway River",72.16,17831.83,"RI"
"805431","80543","011000070301","CT,RI","Ashaway River",72.16,17831.83,"RI"
"12985","12985","011000070303","CT,RI","Outlet Pawcatuck River",41.06,10146.23,"RI"
"129851","12985","011000070303","CT,RI","Outlet Pawcatuck River",41.06,10146.23,"RI"
"11781","11781","020302020804","NY,RI","Block Island Sound",628.26,155247.29,"RI"
"8231","8231","020302030000","CT,NY,RI","Long Island Sound",3082.16,761618.25,"RI"
"82311","8231","020302030000","CT,NY,RI","Long Island Sound",3082.16,761618.25,"RI"
