"","huc16","states","name","areasqkm","areaacres"
"1","0207001001031715","DC","0207001001031715",0,0.93
"2","0207001001031716","DC","0207001001031716",0,0.01
"3","0207001002010443","MD","0207001002010443",0.05,12.7
"4","0207000810050309","VA","0207000810050309",0.12,29.26
"5","0207001001020110","MD","0207001001020110",0.34,84.52
"6","0207001002010444","MD","0207001002010444",0.07,17.89
"7","0207001002010445","MD","0207001002010445",0.42,104.95
"8","0207001002012626","MD","0207001002012626",0.02,5.44
"9","0207001002043013","DC","0207001002043013",0,0
"10","0207001002010446","MD","0207001002010446",0.13,31.47
"11","0207001003011436","DC","0207001003011436",0,0.11
"12","0207001002043308","DC","0207001002043308",0.14,34.58
"13","0207001003011202","MD","0207001003011202",0.13,32.86
"14","0207001002010447","MD","0207001002010447",0.07,16.95
"15","0207001002012624","MD","0207001002012624",0,1.21
"16","0207001003010122","VA","0207001003010122",0.01,1.49
"17","0207001002013914","MD","0207001002013914",0.26,63.98
"18","0207001002010448","MD","0207001002010448",0.04,10.87
"19","0207001002010441","MD","0207001002010441",0,1.11
"20","0207000810050525","VA","0207000810050525",0,0.4
"21","0207001002010442","MD","0207001002010442",0.12,29.39
"22","0207000810050408","VA","0207000810050408",0,0.32
"23","0207001002043329","DC","0207001002043329",0,0
"24","0207001002012627","MD","0207001002012627",0.04,10.54
"25","0207001002012625","MD","0207001002012625",0.02,5.88
"26","0207001002040865","MD","0207001002040865",0.01,1.37
"27","0207001002040866","MD","0207001002040866",0.13,31.03
"28","0207001002043309","DC","0207001002043309",0,0
"29","0207001002040877","MD","0207001002040877",0,0.72
"30","0207001002040883","MD","0207001002040883",0.01,3.65
"31","0207000810050411","VA","0207000810050411",0,0.95
"32","0207001002040884","MD","0207001002040884",0.03,8.32
"33","0207001001022816","DC","0207001001022816",0.02,4.28
"34","0207001002040885","MD","0207001002040885",0.01,2.98
"35","0207001002040867","MD","0207001002040867",0,0.98
"36","0207001002040868","MD","0207001002040868",0.26,63.54
"37","0207000810051025","VA","0207000810051025",0.01,1.39
"38","0207001001031009","VA","0207001001031009",0,0.05
"39","0207001002040869","MD","0207001002040869",0.05,12.39
"40","0207001002040870","MD","0207001002040870",0.58,142.68
"41","0207000810051152","MD,VA","0207000810051152",0,0.43
"42","0207000810057225","MD","0207000810057225",0,0.17
"43","0207001002040871","MD","0207001002040871",0.02,4.83
"44","0207001002040880","MD","0207001002040880",0.05,11.98
"45","0207001002040872","MD","0207001002040872",0.06,15.37
"46","0207001002040881","MD","0207001002040881",0.64,159.03
"47","0207001002040882","MD","0207001002040882",1.1,271.29
"48","0207001003011428","DC,MD","0207001003011428",0,0.84
"49","0207001001031914","DC","0207001001031914",0,0.04
"50","0207001002040873","MD","0207001002040873",0.06,14.52
"51","0207001002040874","MD","0207001002040874",0.21,52.23
"52","0207001003011429","DC","0207001003011429",0,0.25
"53","0207001003011430","DC,MD","0207001003011430",0.26,63.34
"54","0207001003011431","DC,MD","0207001003011431",0,0.07
"55","0207001001031915","DC","0207001001031915",0,0.01
"56","0207001002040875","MD","0207001002040875",0.06,14.14
"57","0207001003011434","DC","0207001003011434",0,0.02
"58","0207001003011435","DC","0207001003011435",0,0.2
"59","0207001002040876","MD","0207001002040876",0.07,16.95
"60","0207001002040878","MD","0207001002040878",0.74,182.37
"61","0207001002040879","MD","0207001002040879",0.32,78.18
"62","0207001001031916","DC","0207001001031916",0,0.01
"63","0207001003011432","DC","0207001003011432",0.05,12.02
"64","0207001003011433","DC,MD","0207001003011433",0.01,3.39
"65","0207001003010304","VA","0207001003010304",0.03,8.12
"66","0207001003010301","VA","Munson Hill",0.02,3.93
"67","0207001003011501","DC,MD","0207001003011501",0.06,15.66
"68","0207001003011502","DC","0207001003011502",0.02,4.06
"69","0207001003010123","VA","0207001003010123",0.09,22.31
"70","0207001003010850","VA","0207001003010850",0,0.61
"71","0207001003010302","VA","0207001003010302",0.03,6.6
"72","0207001003010303","VA","0207001003010303",1.1,272.52
"73","0207001003010305","VA","0207001003010305",0.19,48.12
"74","0207000810053825","VA","0207000810053825",0.04,9.82
"75","0207001003010306","VA","0207001003010306",0.08,19.94
"76","0207000810050706","VA","0207000810050706",0.02,5.89
"77","0207001003010307","VA","0207001003010307",0.1,23.61
"78","0207001003010308","VA","0207001003010308",0.49,120.19
"79","0207001003010309","VA","0207001003010309",0.08,19.7
"80","0207001003011427","DC,MD","0207001003011427",0.31,75.42
"81","0207001003010852","VA","0207001003010852",0,0.12
"82","0207001003011001","VA","0207001003011001",0.07,16.2
"83","0207001003011002","VA","0207001003011002",0.91,224.51
"84","0207001003010851","VA","0207001003010851",0,0.79
"85","0207001001022408","DC","0207001001022408",0,0.13
"86","0207000810056004","MD","0207000810056004",0.09,21.63
"87","0207000810050443","VA","0207000810050443",0,1.11
"88","0207000810056014","MD","0207000810056014",0.1,23.71
"89","0207001001022326","DC","0207001001022326",0,0.95
"90","0207000810053824","VA","0207000810053824",0.05,11.17
"91","0207000810050707","VA","0207000810050707",0.01,3.03
"92","0207001001031917","DC","0207001001031917",0,0.04
"93","0207000810050701","VA","0207000810050701",0.11,26.86
"94","0207000810053827","VA","0207000810053827",0,1.05
"95","0207000810051218","VA","0207000810051218",0.04,10.88
"96","0207000810053828","VA","0207000810053828",0,0.23
"97","0207000810050702","VA","0207000810050702",0.04,9.25
"98","0207000810051219","VA","0207000810051219",0.02,5.76
"99","0207001001031918","DC","0207001001031918",0,0
"100","0207000810051220","VA","0207000810051220",0.08,20.35
"101","0207000810056006","MD","0207000810056006",0.02,5.13
"102","0207000810050703","VA","0207000810050703",0.05,13.38
"103","0207000810050704","VA","0207000810050704",0.03,6.47
"104","0207000810056007","MD","0207000810056007",0.26,64.64
"105","0207000810050705","VA","0207000810050705",0.2,49.19
"106","0207000810053826","VA","0207000810053826",0.04,10.5
"107","0207000810055925","MD","0207000810055925",0,0.21
"108","0207000810051120","VA","0207000810051120",0.01,3.11
"109","0207000810055926","DC,MD","0207000810055926",0.07,17.35
"110","0207000810050611","VA","0207000810050611",0.01,1.32
"111","0207000810056005","MD","0207000810056005",0.07,17.5
"112","0207000810052719","VA","0207000810052719",0.01,1.79
"113","0207000810056008","MD","0207000810056008",0.03,8.26
"114","0207000810053823","VA","0207000810053823",0.04,9.59
"115","0207001001023753","DC","0207001001023753",0,0.08
"116","0207000810056009","MD","0207000810056009",0.06,15.67
"117","0207000810050711","VA","0207000810050711",0.01,1.96
"118","0207000810056010","MD","0207000810056010",0.09,23.26
"119","0207000810053822","VA","0207000810053822",0,0.16
"120","0207001001023754","DC","0207001001023754",0,0
"121","0207001001023755","DC","0207001001023755",0,0
"122","0207000810055927","MD","0207000810055927",0.04,9.63
"123","0207000810052637","VA","0207000810052637",0.01,3.1
"124","0207000810056001","MD","0207000810056001",0.08,20.98
"125","0207000810052638","VA","0207000810052638",0,0.07
"126","0207001001031610","DC","0207001001031610",0,0.21
"127","0207000810056002","MD","0207000810056002",0.04,10.15
"128","0207000810056012","MD","0207000810056012",0.02,3.79
"129","0207000810056013","MD","0207000810056013",0.61,149.59
"130","0207001001020609","MD","0207001001020609",0.2,49.22
"131","0207000810056003","MD","0207000810056003",0.07,17.42
"132","0207000810050318","VA","0207000810050318",0.01,2.54
"133","0207000810056011","MD","0207000810056011",0.11,26.13
"134","0207001001031611","DC","0207001001031611",0,0.01
"135","0207001001020610","MD","0207001001020610",0.09,23.07
"136","0207000810051221","VA","0207000810051221",0,0.53
"137","0207001001020611","MD","0207001001020611",0.1,23.8
"138","0207000810056015","MD","0207000810056015",0.14,34.6
"139","0207001001020608","MD","0207001001020608",0.24,58.71
"140","0207001002010432","MD","0207001002010432",0,0.02
"141","0207001002010433","MD","0207001002010433",0.04,8.94
"142","0207000810050218","VA","0207000810050218",0.01,3.37
"143","0207001002010434","MD","0207001002010434",0.05,12.91
"144","0207001002010436","MD","0207001002010436",0.02,5.28
"145","0207001002010435","MD","0207001002010435",0.07,17.57
"146","0207000810055071","VA","0207000810055071",0,0.77
"147","0207001002010437","MD","0207001002010437",0.06,13.92
"148","0207000810051008","VA","0207000810051008",0.01,2.49
"149","0207001002010438","MD","0207001002010438",0.14,35.63
"150","0207000810051110","VA","0207000810051110",0.01,2.42
"151","0207001002010439","MD","0207001002010439",0.02,6.06
"152","0207001002010417","MD","0207001002010417",0.02,6.05
"153","0207001002010440","MD","0207001002010440",0.06,15.66
"154","0207001001022819","DC","0207001001022819",0,1.23
"155","0207001001023717","DC","0207001001023717",0,0.79
"156","0207001002010415","MD","0207001002010415",0.08,20.47
"157","0207001002010416","MD","0207001002010416",0.19,46.94
"158","0207000810052612","VA","0207000810052612",0.01,1.36
"159","0207001002010418","MD","0207001002010418",0.08,18.55
"160","0207001002010419","MD","0207001002010419",0.15,36.62
"161","0207001002040901","MD","0207001002040901",0.2,50.06
"162","0207000810053802","VA","0207000810053802",0.01,1.82
"163","0207001002040902","MD","0207001002040902",0.12,30.63
"164","0207001001023721","DC","0207001001023721",0,0.01
"165","0207001001023756","DC","0207001001023756",0,0.04
"166","0207001001022817","DC","0207001001022817",0.04,9.54
"167","0207001001022818","DC","0207001001022818",0.01,3.39
"168","0207001001023722","DC","0207001001023722",0,0.05
"169","0207001001023757","DC","0207001001023757",0,0.04
"170","0207001002010405","MD","0207001002010405",0.07,17.91
"171","0207000810054832","MD","0207000810054832",0,0.54
"172","0207001002010406","MD","0207001002010406",0.03,7.53
"173","0207001002040886","MD","0207001002040886",0.33,81.27
"174","0207001001022821","DC","0207001001022821",0.01,1.87
"175","0207001002010420","MD","0207001002010420",0,0.13
"176","0207001001032438","DC","0207001001032438",0,0.19
"177","0207001002010421","MD","0207001002010421",0.13,32.1
"178","0207001001022820","DC","0207001001022820",0.03,8.06
"179","0207001002010407","MD","0207001002010407",0,0.76
"180","0207000810050419","VA","0207000810050419",0.02,3.83
"181","0207001002010408","MD","0207001002010408",0.05,13.17
"182","0207000810051114","VA","0207000810051114",0,1.11
"183","0207001002010409","MD","0207001002010409",0.08,19.06
"184","0207000810053002","VA","0207000810053002",0.01,3.12
