"","huc2","states","name"
"1","12","LA,NM,TX","Texas-Gulf Region"
"2","21","PR","Caribbean Region"
"3","20","HI","Hawaii Region"
"4","22","AS,GU","South Pacific Region"
"5","05","IL,IN,KY,MD,NC,NY,OH,PA,TN,VA,WV","Ohio Region"
"6","06","AL,GA,KY,MS,NC,SC,TN,VA,WV","Tennessee Region"
"7","07","IA,IL,IN,KY,MI,MN,MO,ND,SD,WI","Upper Mississippi Region"
"8","08","AR,IL,KY,LA,MO,MS,TN","Lower Mississippi Region"
"9","13","CO,MX,NM,TX","Rio Grande Region"
"10","14","AZ,CO,NM,UT,WY","Upper Colorado Region"
"11","11","AR,CO,KS,LA,MO,NM,OK,TX","Arkansas-White-Red Region"
"12","16","CA,ID,NV,OR,UT,WY","Great Basin Region"
"13","18","CA,MX,NV,OR","California Region"
"14","15","AZ,CA,MX,NM,NV,UT","Lower Colorado Region"
"15","09","CN,MN,MT,ND,SD","Souris-Red-Rainy Region"
"16","17","CA,CN,ID,MT,NV,OR,UT,WA,WY","Pacific Northwest Region"
"17","04","CN,IL,IN,ME,MI,MN,NH,NY,OH,PA,VT,WI","Great Lakes Region"
"18","19","AK,CN","Alaska Region"
"19","10","CN,CO,IA,ID,KS,MN,MO,MT,ND,NE,SD,WY","Missouri Region"
"20","03","AL,FL,GA,LA,MS,NC,SC,TN,VA","South Atlantic-Gulf Region"
"21","01","CN,CT,MA,ME,NH,NY,RI,VT","New England Region"
"22","02","CT,DC,DE,MA,MD,NJ,NY,PA,RI,VA,VT,WV","Mid Atlantic Region"
