"","huc6","states","name"
"1","050902","IN,KY,OH","Middle Ohio-Little Miami"
"2","030201","NC","Pamlico"
"3","031501","AL,GA,TN","Coosa-Tallapoosa"
"4","050800","IN,OH","Great Miami"
"5","051201","IL,IN,OH","Wabash"
"6","031403","AL,FL","Escambia"
"7","051202","IN","Patoka-White"
"8","111402","AR,LA,TX","Red-Saline"
"9","080702","LA,MS","Lake Maurepas"
"10","080902","LA,MS","Lake Pontchartrain"
"11","120402","LA,TX","Galveston Bay-Sabine Lake"
"12","121004","TX","Central Texas Coastal"
"13","010600","MA,ME,NH","Saco"
"14","140200","CO","Gunnison"
"15","051402","IL,IN,KY","Lower Ohio"
"16","051401","IN,KY","Lower Ohio-Salt"
"17","080302","LA,MS,TN","Yazoo"
"18","090100","CN,ND","Souris"
"19","031800","LA,MS","Pearl"
"20","080703","LA","Lower Grand"
"21","100401","MT","Fort Peck Lake"
"22","100901","MT,WY","Tongue"
"23","140600","CO,UT","Lower Green"
"24","071000","IA,MN,MO","Des Moines"
"25","070200","IA,MN,ND,SD","Minnesota"
"26","030202","NC","Neuse"
"27","030203","NC","Onslow Bay"
"28","030101","NC,VA","Roanoke"
"29","170102","CN,ID,MT,WA","Pend Oreille"
"30","071100","IA,IL,MO","Upper Mississippi-Salt"
"31","180901","CA,NV","Mono-Owens Lakes"
"32","170502","ID,OR","Middle Snake-Powder"
"33","170601","ID,OR,WA","Lower Snake"
"34","101702","IA,MN,NE,SD","Big Sioux"
"35","101301","ND,SD","Lake Oahe"
"36","101401","NE,SD","Fort Randall Reservoir"
"37","200100","HI","Hawaii"
"38","120904","TX","San Bernard Coastal"
"39","200200","HI","Maui"
"40","102100","NE","Loup"
"41","102200","NE","Elkhorn"
"42","110600","KS,OK","Arkansas-Keystone"
"43","110701","KS,OK","Verdigris"
"44","171001","OR,WA","Washington Coastal"
"45","210100","PR","Puerto Rico"
"46","190201","AK,CN","Copper River"
"47","030902","FL","Southern Florida"
"48","200300","HI","Kahoolawe"
"49","020700","DC,MD,PA,VA,WV","Potomac"
"50","010300","CN,ME","Kennebec"
"51","010400","CN,ME,NH","Androscoggin"
"52","010801","CN,ME,NH,VT","Upper Connecticut"
"53","080103","MO","Town of Madrid-Saint Johns Bayou"
"54","031200","FL,GA","Ochlockonee"
"55","031300","AL,FL,GA","Apalachicola"
"56","030802","FL","East Florida Coastal"
"57","030801","FL","St. Johns"
"58","031002","FL","Tampa Bay"
"59","031101","FL,GA","Aucilla-Waccasassa"
"60","051001","KY","Licking"
"61","030401","NC,SC,VA","Upper Pee Dee"
"62","070101","MN","Mississippi Headwaters"
"63","080203","AR,MO","Lower White"
"64","110200","CO,KS,NM","Upper Arkansas"
"65","140100","CO,UT","Colorado Headwaters"
"66","110901","NM,OK,TX","Middle Canadian"
"67","200400","HI","Lanai"
"68","200500","HI","Molokai"
"69","200600","HI","Oahu"
"70","200700","HI","Kauai"
"71","200800","HI","Niihau"
"72","102802","IA,MO","Chariton"
"73","103001","KS,MO","Lower Missouri-Blackwater"
"74","102702","KS,NE","Big Blue"
"75","102001","NE","Middle Platte"
"76","102002","NE","Lower Platte"
"77","111001","KS,NM,OK,TX","Upper Beaver"
"78","080204","AR","Lower Arkansas"
"79","050400","OH","Muskingum"
"80","050301","OH,PA,WV","Upper Ohio-Beaver"
"81","111102","AR","Lower Arkansas-Fourche La Fave"
"82","110100","AR,MO","Upper White"
"83","110800","CO,NM,TX","Upper Canadian"
"84","110400","CO,KS,NM,OK","Upper Cimarron"
"85","110500","KS,OK","Lower Cimarron"
"86","111003","OK","Lower North Canadian"
"87","111101","AR,OK","Robert S. Kerr Reservoir"
"88","170103","ID,MT,WA","Spokane"
"89","140801","AZ,CO,NM","Upper San Juan"
"90","130301","MX,NM,TX","Rio Grande-Caballo"
"91","130100","CO,NM","Rio Grande Headwaters"
"92","180600","CA","Central California Coastal"
"93","180701","CA","Ventura-San Gabriel Coastal"
"94","180902","CA,NV","Northern Mojave"
"95","180201","CA","Lower Sacramento"
"96","180500","CA","San Francisco Bay"
"97","181001","CA","Southern Mojave"
"98","180200","CA,OR","Upper Sacramento"
"99","180800","CA,NV","North Lahontan"
"100","190204","AK","Knik Arm"
"101","190205","AK","Susitna River"
"102","131000","MX","Rio Conchos"
"103","131100","MX","Rio Salado"
"104","131200","MX","Rio San Juan"
"105","220300","AS","American Samoa"
"106","220400","UM","United States Minor Outlying Islands"
"107","130402","MX,TX","Rio Grande-Amistad"
"108","130800","MX,TX","Rio Grande-Falcon"
"109","101000","MT,ND","Lower Yellowstone"
"110","101101","ND","Lake Sakakawea"
"111","040700","MI","Northwestern Lake Huron"
"112","010500","CN,ME","Maine Coastal"
"113","190202","AK","Prince William Sound"
"114","180702","CA","Santa Ana"
"115","070102","MN","Upper Mississippi-Crow-Rum"
"116","070600","IA,IL,MN,WI","Upper Mississippi-Maquoketa-Plum"
"117","181002","CA,MX","Salton Sea"
"118","160501","CA,NV","Truckee"
"119","160401","NV","Humboldt"
"120","160503","CA,NV","Walker"
"121","120701","TX","Lower Brazos"
"122","100302","CN,MT","Marias"
"123","040201","MI,WI","Southcentral Lake Superior"
"124","102300","IA,MN,NE,SD","Missouri-Little Sioux"
"125","101800","CO,NE,WY","North Platte"
"126","102500","CO,KS,NE","Republican"
"127","170200","CN,WA","Upper Columbia"
"128","100301","MT","Upper Missouri"
"129","100500","CN,MT","Milk"
"130","080802","LA","Calcasieu-Mermentau"
"131","120100","LA,TX","Sabine"
"132","130700","NM,TX","Lower Pecos"
"133","121102","TX","Southwestern Texas Coastal"
"134","130900","MX,TX","Lower Rio Grande"
"135","170703","OR","Deschutes"
"136","170300","WA","Yakima"
"137","171100","CN,WA","Puget Sound"
"138","111303","OK,TX","Washita"
"139","111203","OK,TX","North Fork Red"
"140","110902","OK,TX","Lower Canadian"
"141","111401","AR,OK,TX","Red-Little"
"142","051002","KY,VA","Kentucky"
"143","051100","KY,TN","Green"
"144","060300","AL,GA,MS,TN","Middle Tennessee-Elk"
"145","020403","DE,MD,NJ,NY,VA","Mid Atlantic Coastal"
"146","042100","CN","Wanipitai River-French River"
"147","071200","IL,IN,MI,WI","Upper Illinois"
"148","040400","IL,IN,MI,WI","Southwestern Lake Michigan"
"149","220202","MP","Northern Islands Municipality"
"150","220201","MP","Rota Island-Tinian Island-Saipan Island"
"151","071300","IL","Lower Illinois"
"152","080101","AR,IL,KY,MO,MS,TN","Lower Mississippi-Memphis"
"153","150601","AZ","Salt"
"154","150802","AZ,MX","Rio De La Concepcion"
"155","180300","CA","Tulare-Buena Vista Lakes"
"156","031502","AL","Alabama"
"157","180400","CA","San Joaquin"
"158","030702","FL,GA","St. Marys-Satilla"
"159","031102","FL,GA","Suwannee"
"160","030300","NC","Cape Fear"
"161","030402","NC,SC","Lower Pee Dee"
"162","020302","CT,NJ,NY,RI","Long Island"
"163","010700","MA,NH","Merrimack"
"164","010900","MA,RI","Massachusetts-Rhode Island Coastal"
"165","041600","CN","Northwestern Lake Superior"
"166","040202","MI","Southeastern Lake Superior"
"167","080403","LA","Lower Red"
"168","180703","CA,MX","Laguna-San Diego Coastal"
"169","040102","MN,WI","St. Louis"
"170","040103","MI,MN,WI","Southwestern Lake Superior"
"171","041900","IL,IN,MI,WI","Lake Michigan"
"172","040302","WI","Fox"
"173","190208","AK","Cook Inlet"
"174","190206","AK","Western Cook Inlet"
"175","080701","LA,MS","Lower Mississippi-Baton Rouge"
"176","050100","NY,PA","Allegheny"
"177","080601","LA,MS","Lower Mississippi-Natchez"
"178","102902","MO","Gasconade"
"179","102801","IA,MO","Grand"
"180","102901","KS,MO","Osage"
"181","100402","MT","Musselshell"
"182","090202","ND","Devils Lake-Sheyenne"
