"","huc16","states","name"
"1","0207001001031715","DC","0207001001031715"
"2","0207001001031716","DC","0207001001031716"
"3","0207001002010443","MD","0207001002010443"
"4","0207000810050309","VA","0207000810050309"
"5","0207001001020110","MD","0207001001020110"
"6","0207001002010444","MD","0207001002010444"
"7","0207001002010445","MD","0207001002010445"
"8","0207001002012626","MD","0207001002012626"
"9","0207001002043013","DC","0207001002043013"
"10","0207001002010446","MD","0207001002010446"
"11","0207001003011436","DC","0207001003011436"
"12","0207001002043308","DC","0207001002043308"
"13","0207001003011202","MD","0207001003011202"
"14","0207001002010447","MD","0207001002010447"
"15","0207001002012624","MD","0207001002012624"
"16","0207001003010122","VA","0207001003010122"
"17","0207001002013914","MD","0207001002013914"
"18","0207001002010448","MD","0207001002010448"
"19","0207001002010441","MD","0207001002010441"
"20","0207000810050525","VA","0207000810050525"
"21","0207001002010442","MD","0207001002010442"
"22","0207000810050408","VA","0207000810050408"
"23","0207001002043329","DC","0207001002043329"
"24","0207001002012627","MD","0207001002012627"
"25","0207001002012625","MD","0207001002012625"
"26","0207001002040865","MD","0207001002040865"
"27","0207001002040866","MD","0207001002040866"
"28","0207001002043309","DC","0207001002043309"
"29","0207001002040877","MD","0207001002040877"
"30","0207001002040883","MD","0207001002040883"
"31","0207000810050411","VA","0207000810050411"
"32","0207001002040884","MD","0207001002040884"
"33","0207001001022816","DC","0207001001022816"
"34","0207001002040885","MD","0207001002040885"
"35","0207001002040867","MD","0207001002040867"
"36","0207001002040868","MD","0207001002040868"
"37","0207000810051025","VA","0207000810051025"
"38","0207001001031009","VA","0207001001031009"
"39","0207001002040869","MD","0207001002040869"
"40","0207001002040870","MD","0207001002040870"
"41","0207000810051152","MD,VA","0207000810051152"
"42","0207000810057225","MD","0207000810057225"
"43","0207001002040871","MD","0207001002040871"
"44","0207001002040880","MD","0207001002040880"
"45","0207001002040872","MD","0207001002040872"
"46","0207001002040881","MD","0207001002040881"
"47","0207001002040882","MD","0207001002040882"
"48","0207001003011428","DC,MD","0207001003011428"
"49","0207001001031914","DC","0207001001031914"
"50","0207001002040873","MD","0207001002040873"
"51","0207001002040874","MD","0207001002040874"
"52","0207001003011429","DC","0207001003011429"
"53","0207001003011430","DC,MD","0207001003011430"
"54","0207001003011431","DC,MD","0207001003011431"
"55","0207001001031915","DC","0207001001031915"
"56","0207001002040875","MD","0207001002040875"
"57","0207001003011434","DC","0207001003011434"
"58","0207001003011435","DC","0207001003011435"
"59","0207001002040876","MD","0207001002040876"
"60","0207001002040878","MD","0207001002040878"
"61","0207001002040879","MD","0207001002040879"
"62","0207001001031916","DC","0207001001031916"
"63","0207001003011432","DC","0207001003011432"
"64","0207001003011433","DC,MD","0207001003011433"
"65","0207001003010304","VA","0207001003010304"
"66","0207001003010301","VA","Munson Hill"
"67","0207001003011501","DC,MD","0207001003011501"
"68","0207001003011502","DC","0207001003011502"
