"","huc14","states","name"
"1","19010406040103","AK","19010406040103-Fairweather Glacier"
"2","19020302140503","AK","19020302140503"
"3","19010406060104","AK","19010406060104-Brady Glacier"
"4","19010406020201","AK","19010406020201-Mount Watson"
"5","19020302110302","AK","19020302110302"
"6","19020302120502","AK","Schilter Creek"
"7","19010406020301","AK","19010406020301"
"8","19010210090402","AK","Aats Bay-Frontal Chatham Strait"
"9","19010210150601","AK","19010210150601"
"10","19010103050705","AK","19010103050705"
"11","19010210140206","AK","19010210140206"
"12","19010210020203","AK","Portage Bay-Frontal Frederick Sound"
"13","19010210140502","AK","19010210140502"
"14","19010210140504","AK","Lower Kushneahin Creek"
"15","19010210100416","AK","Spirit Creek-Frontal Sumner Strait"
"16","19010210040207","AK","Lower Kadake Creek"
"17","19010210090306","AK","Howard Cove-Frontal Chatham Strait"
"18","19010210090407","AK","Nation Point-Frontal Chatham Strait"
"19","19010210110603","AK","19010210110603"
"20","19010406010302","AK","19010406010302"
"21","02070010020116","MD","Drumeldra Hills-Northwest Branch Anacostia River"
"22","19010210020101","AK","19010210020101-Hunt Peak"
"23","19010210040304","AK","Crane Creek"
"24","19010210020503","AK","19010210020503"
"25","19010210150904","AK","Fairway Island"
"26","19020302100602","AK","Lower Falls Creek"
"27","19010210040303","AK","19010210040303"
"28","19010210050202","AK","19010210050202"
"29","19010210020103","AK","19010210020103-Lockwood Peak"
"30","19010210020707","AK","Cape Bendel-Frontal Frederick Sound"
"31","19010210140501","AK","Upper Kushneahin Creek"
"32","19020302140606","AK","Bear Mountain-Kenai River"
"33","19010210150902","AK","Port McArthur-Frontal Sumner Strait"
"34","19010210150903","AK","Lemon Point-Frontal Sumner Strait"
"35","19010210100101","AK","Upper Petersburg Creek"
"36","19020302140605","AK","Surprise Creek"
"37","19020302100704","AK","Lower Trail Lake-Trail Creek"
"38","19010210110107","AK","North Arm Duncan Canal"
"39","19010210030602","AK","Mud Creek"
"40","19010210020704","AK","19010210020704"
"41","19010210100202","AK","19010210100202"
"42","19010210110401","AK","Upper Duncan Creek"
"43","19010210020708","AK","Turnabout Island"
"44","19010210020706","AK","19010210020706"
"45","19010210020705","AK","19010210020705"
"46","19020302140504","AK","Lower Russian Lake-Russian River"
"47","19020302100503","AK","19020302100503"
"48","19020302140302","AK","Outlet Cooper Creek"
"49","19020302100501","AK","19020302100501"
"50","19010210040203","AK","Middle Kadake Creek"
"51","19010210150901","AK","19010210150901-Mount McArthur"
"52","19010210020702","AK","19010210020702"
"53","19010210030201","AK","19010210030201"
"54","19010210090307","AK","Crowley Bight-Frontal Chatham Strait"
"55","19010210140601","AK","19010210140601"
"56","19010210020701","AK","19010210020701"
"57","19010210150805","AK","19010210150805"
"58","19010210140606","AK","19010210140606"
"59","19010210150804","AK","19010210150804"
"60","19010210150803","AK","19010210150803"
"61","19010210110102","AK","19010210110102"
"62","19010210030204","AK","19010210030204"
"63","19010102090203","AK","Tamgas Harbor-Frontal Felice Strait"
"64","19010103110302","AK","19010103110302"
"65","19010210140204","AK","19010210140204"
"66","19010103160907","AK","19010103160907"
"67","19010103181205","AK","19010103181205-Frontal Pacific Ocean"
"68","19010103100505","AK","Outlet Shaheen Creek"
"69","19010102010407","AK","19010102010407"
"70","19020302100506","AK","19020302100506-Solars Mountain"
"71","02070010020115","MD","Sherwood Forest"
"72","19010103050408","AK","Twelvemile Arm-Frontal Kasaan Bay"
"73","19020302120505","AK","Shackleford Creek"
"74","19020302100505","AK","19020302100505"
"75","19020302110402","AK","Dry Creek"
"76","19020302110301","AK","19020302110301"
"77","19020302110303","AK","Crescent Lake"
"78","19010102050310","AK","Shelter Cove-Frontal Carroll Inlet"
"79","19010210020703","AK","19010210020703"
"80","19010103181004","AK","Essowah Harbor-Frontal Pacific Ocean"
"81","19010102050903","AK","19010102050903"
"82","19010103110902","AK","19010103110902"
"83","19010102030102","AK","19010102030102"
"84","19020302140601","AK","Town of Cooper Landing-Kenai River"
"85","19020302140603","AK","Round Mountain-Kenai River"
"86","19020302120506","AK","Bean Creek"
"87","19020302090102","AK","19020302090102-Snow River"
"88","19010102010302","AK","Upper Grace Creek"
"89","19010102050902","AK","19010102050902"
"90","19010102050204","AK","19010102050204"
"91","19010210060508","AK","19010210060508"
"92","19010102010404","AK","19010102010404"
"93","19010103160105","AK","Soda Bay-Frontal Tlevak Strait"
"94","19010103100806","AK","Salt Lake Bay-Frontal Tonowek Bay"
"95","19010103140503","AK","Port Refugio-Frontal Ulloa Channel"
"96","19010103140616","AK","Bucareli Bay-Frontal Pacific Ocean"
"97","19010210090101","AK","19010210090101"
"98","19010103050702","AK","19010103050702"
"99","19010103090903","AK","19010103090903"
"100","19010103100706","AK","Warm Chuck Inlet-Frontal Tonowek Bay"
"101","19020302100504","AK","19020302100504"
"102","19020302110304","AK","Crescent Creek"
"103","19010103090606","AK","Barrier Islands-Frontal Sumner Strait"
"104","19020302140604","AK","Jean Creek"
"105","19020302100507","AK","Grant Lake"
"106","19020302140602","AK","19020302140602"
"107","19020302100502","AK","19020302100502"
"108","19020302060302","AK","Fuller Lake-Mystery Creek"
"109","19010102051002","AK","19010102051002"
"110","19010103100801","AK","Kaguk Cove-Frontal Tonowek Bay"
"111","19010102080201","AK","Marv Island-Frontal Revillagigedo Channel"
"112","19010210070103","AK","19010210070103"
"113","19010103130401","AK","Upper Shinaku Creek"
"114","19010102030701","AK","19010102030701"
"115","19010103180901","AK","19010103180901"
"116","19010210060504","AK","19010210060504"
"117","02070010020117","MD","Upper Bel Pre Creek"
"118","19010103091104","AK","Fishermans Harbor-Frontal Sumner Strait"
"119","19020302060303","AK","19020302060303"
"120","19020302100702","AK","Carter Creek-Moose Creek"
"121","19020302140106","AK","Slaughter Creek"
"122","19010103160904","AK","Ham Cove-Frontal Kaigani Strait"
"123","19010103050404","AK","Halfmile Creek"
"124","19010103010302","AK","Galligan Creek"
"125","19010103031103","AK","19010103031103"
"126","19020302100201","AK","Upper Moose Creek"
"127","19020302110403","AK","Langille Mountain-Quartz Creek"
"128","19020302140105","AK","Shaft Creek"
"129","02070010020119","MD","Lower Bel Pre Creek"
"130","19010102050304","AK","Licking Creek"
"131","19010103050407","AK","Wolf Lake"
"132","19010103091105","AK","19010103091105"
"133","19010103031104","AK","19010103031104"
"134","19010103110703","AK","Cyrus Cove-Frontal Sea Otter Sound"
"135","02070010020121","MD","02070010020121"
"136","19010103100302","AK","19010103100302"
"137","19010102050105","AK","19010102050105"
"138","19010102050507","AK","19010102050507"
"139","19020302110401","AK","Daves Creek"
"140","19020302100203","AK","19020302100203"
"141","19020302090101","AK","19020302090101"
"142","19020302140107","AK","Lower Juneau Creek"
"143","19020302100204","AK","19020302100204"
"144","19010102050103","AK","19010102050103"
"145","19010103150201","AK","Hydaburg River"
"146","19010102030604","AK","Moser Bay-Frontal Behm Canal"
"147","19010102100303","AK","Cape Northumberland-Frontal Clarence Strait"
"148","19010102030203","AK","Margaret Creek"
"149","19010102020104","AK","Outlet Cow Creek"
"150","19010102010201","AK","19010102010201"
"151","19010102020802","AK","19010102020802-Frontal Neets Bay"
"152","19010103020104","AK","Cutthroat Lakes"
"153","19010103020103","AK","Control Lake"
"154","19010210070603","AK","19010210070603"
"155","19020302100206","AK","19020302100206"
"156","19010103070508","AK","Moira Sound-Frontal Clarence Strait"
"157","19010102060308","AK","19010102060308"
"158","19020302100703","AK","Upper Trail Lake-Trail Creek"
"159","19020302100303","AK","19020302100303"
"160","19020302100202","AK","19020302100202"
"161","19020302110203","AK","Johns Creek"
"162","19020302060301","AK","Dike Creek"
"163","19010103160103","AK","19010103160103"
"164","19010103140302","AK","19010103140302"
"165","19010103100404","AK","Twin Mountain"
"166","19010102050303","AK","19010102050303"
"167","19010102050306","AK","Calamity Creek"
"168","19010103181404","AK","19010103181404"
"169","19010102010202","AK","19010102010202"
"170","19010103150205","AK","19010103150205"
"171","19020302140104","AK","Falls Creek"
"172","19020302100302","AK","19020302100302"
"173","19010103030802","AK","Headwaters Ratz Creek"
"174","19010103090404","AK","Flicker Creek"
"175","19010103090501","AK","Baker Creek"
"176","02070010020120","MD","Pine Lake"
"177","19010103030105","AK","Salmon Bay-Frontal Kashevarof Passage"
"178","19010103150110","AK","19010103150110"
"179","19010103110303","AK","19010103110303"
"180","19010102030301","AK","19010102030301"
"181","19010103050708","AK","Kasaan Island"
"182","19010103090804","AK","Dry Pass-Frontal Shakan Bay"
"183","19010103090402","AK","19010103090402"
"184","19010102060310","AK","Thorne Arm-Frontal Revillagigedo Channel"
"185","19020302060102","AK","Upper Thurman Creek"
"186","19020302100701","AK","19020302100701"
"187","19010102060102","AK","Middle Fish Creek"
"188","19010102030302","AK","19010102030302"
"189","19010103181102","AK","19010103181102"
"190","19020302100205","AK","Lower Moose Creek"
"191","19020302110102","AK","19020302110102"
"192","19020302100304","AK","Lark Mountain-Trail Creek"
"193","19010103110801","AK","Headwaters Charley Creek"
"194","19010103170101","AK","19010103170101"
"195","19010103181003","AK","Essowah Lakes"
"196","19020302110103","AK","Lower Devils Creek"
"197","19010103040306","AK","Cabin Creek"
"198","19010103080403","AK","19010103080403"
"199","19010210060501","AK","19010210060501"
"200","19010210060506","AK","19010210060506"
"201","19020302100404","AK","19020302100404"
"202","19020302110201","AK","Headwaters Quartz Creek"
"203","02070010020123","MD","Town of Huntington"
"204","19010210030209","AK","Big John Bay-Frontal Rocky Pass"
"205","19010210110702","AK","19010210110702"
"206","19010210140603","AK","19010210140603"
"207","19010210140602","AK","19010210140602"
"208","19020302100101","AK","Trail Glacier"
"209","19020302100405","AK","Outlet Johnson Creek"
"210","19020302110204","AK","Jerome Lake-Quartz Creek"
"211","19020302060104","AK","Middle Thurman Creek"
"212","19020302140102","AK","19020302140102"
"213","19010210060507","AK","19010210060507"
"214","19010210130301","AK","19010210130301"
"215","19010210120403","AK","Lower Kah Sheets Creek"
"216","19010210120501","AK","19010210120501"
"217","19010210040102","AK","19010210040102"
"218","19020302100301","AK","19020302100301-Trail Creek"
"219","19020302100103","AK","19020302100103"
"220","19020302140103","AK","Middle Juneau Creek"
"221","19010210110405","AK","Lower Duncan Creek"
"222","19010210130302","AK","19010210130302"
"223","19010210030601","AK","19010210030601"
"224","19010210130401","AK","19010210130401"
"225","19010210140609","AK","Keku Strait-Frontal Sumner Strait"
"226","19020302100403","AK","19020302100403"
"227","19020302100402","AK","19020302100402"
"228","19020302110101","AK","Upper Devils Creek"
"229","19020302100102","AK","Trail Glacier-Trail Creek"
"230","19020302100401","AK","Johnson Lake-Johnson Creek"
"231","19020302040201","AK","Upper Mills Creek"
"232","19010210030611","AK","Eagle Island-Frontal Keku Strait"
"233","19010209060402","AK","19010209060402"
"234","19010210140205","AK","19010210140205"
"235","19010210140303","AK","Seclusion Harbor-Frontal Keku Strait"
"236","19010210140607","AK","19010210140607"
"237","19010210150802","AK","19010210150802"
"238","19010210070403","AK","Rowan Bay-Frontal Chatham Strait"
"239","19010210070503","AK","Lower Kwatahein Creek"
"240","19010210070501","AK","Upper Kwatahein Creek"
"241","19010210050304","AK","19010210050304"
"242","19020302040202","AK","Stormy Creek"
"243","19020302060105","AK","Lower Thurman Creek"
"244","19010210020402","AK","19010210020402"
"245","19010210110704","AK","19010210110704"
"246","19010210140605","AK","19010210140605"
"247","19010210040206","AK","19010210040206"
"248","19010210130406","AK","Douglas Bay-Frontal Sumner Strait"
"249","19010210050305","AK","19010210050305-Hamilton Creek"
"250","19010210050301","AK","19010210050301"
"251","19010210150504","AK","19010210150504"
"252","19020302100105","AK","19020302100105-Trail Creek"
"253","19020302100104","AK","Henry Creek"
"254","19020302060202","AK","19020302060202"
"255","19020302060204","AK","19020302060204"
"256","19010210020403","AK","Big Creek"
"257","19010210100102","AK","Del Monte Peak"
"258","19010210150501","AK","19010210150501-Beauclerc Peak"
"259","19020302110202","AK","Summit Creek"
"260","19020302060502","AK","19020302060502-Mystery Creek"
"261","19010210150503","AK","19010210150503"
"262","19010210150502","AK","19010210150502"
