"","huc4","states","name"
"1","1307","NM,TX","Lower Pecos"
"2","1309","MX,TX","Lower Rio Grande"
"3","1211","TX","Nueces-Southwestern Texas Coastal"
"4","1806","CA","Central California Coastal"
"5","1807","CA,MX","Southern California Coastal"
"6","1809","CA,NV","Northern Mojave-Mono Lake"
"7","1805","CA","San Francisco Bay"
"8","1810","CA,MX","Southern Mojave-Salton Sea"
"9","1802","CA,OR","Sacramento"
"10","1808","CA,NV","North Lahontan"
"11","0713","IL","Lower Illinois"
"12","0712","IL,IN,MI,WI","Upper Illinois"
"13","1702","CN,WA","Upper Columbia"
"14","1711","CN,WA","Puget Sound"
"15","0901","CN,ND","Souris"
"16","1005","CN,MT","Milk"
"17","1703","WA","Yakima"
"18","1406","CO,UT","Lower Green"
"19","0710","IA,MN,MO","Des Moines"
"20","0702","IA,MN,ND,SD","Minnesota"
"21","0404","IL,IN,MI,WI","Southwestern Lake Michigan"
"22","0416","CN","Northwestern Lake Superior"
"23","1310","MX","Rio Conchos"
"24","1311","MX","Rio Salado"
"25","1202","TX","Neches"
"26","1312","MX","Rio San Juan"
"27","1304","MX,NM,TX","Rio Grande-Amistad"
"28","1308","MX,TX","Rio Grande-Falcon"
"29","0802","AR,MO,MS","Lower Mississippi-St. Francis"
"30","1706","ID,MT,OR,WA","Lower Snake"
"31","1705","ID,NV,OR","Middle Snake"
"32","0432","CN","Mojikit Lake-Ogoki River"
"33","0433","CN","Long Lake-Kenogami River"
"34","0302","NC","Neuse-Pamlico"
"35","0315","AL,GA,TN","Alabama"
"36","0509","IN,KY,OH,WV","Middle Ohio"
"37","0508","IN,OH","Great Miami"
"38","0512","IL,IN,OH","Wabash"
"39","0514","IL,IN,KY","Lower Ohio"
"40","1114","AR,LA,OK,TX","Red-Sulphur"
"41","0318","LA,MS","Pearl"
"42","0807","LA,MS","Lower Mississippi-Lake Maurepas"
"43","1201","LA,TX","Sabine"
"44","0503","OH,PA,WV","Upper Ohio"
"45","1106","KS,OK","Arkansas-Keystone"
"46","1107","AR,KS,MO,OK","Neosho-Verdigris"
"47","2204","UM","United States Minor Outlying Islands"
