"83171","011000020105","CT","Skungamaug River"
"83173","011000020107","CT","Tenmile River"
"83174","011000020108","CT","Nelson Brook-Willimantic River"
"83175","011000020202","CT","Still River"
"83184","011000020303","CT","Beaver Brook-Shetucket River"
"83185","011000020205","CT","Mount Hope River"
"83187","011000020206","CT","Sawmill Brook-Natchaug River"
"83188","011000030103","CT","Pease Brook-Yantic River"
"83189","011000030202","CT","Stony Brook"
"83190","011000030203","CT","Thames River-Frontal New London Harbor"
"83191","011000030302","CT","Poquonock River-Frontal Fishers Island Sound"
"83196","010802050804","CT","Moodus River"
"83197","010802050702","CT","Mill Creek-Connecticut River"
"83199","010802050803","CT","Pine Brook"
"83200","010802050901","CT","Deep River-Connecticut River"
"83201","010802070103","CT","Still River"
"83202","010802070402","CT","Cherry Brook-Farmington River"
"83203","010802070405","CT","Roaring Brook-Farmington River"
"83204","010802050102","CT,MA","Pecousic Brook-Connecticut River"
"83214","011000030102","CT","Susquetonscut Brook"
"83215","011000020302","CT","Little River"
"83238","010802070301","CT,MA","Hubbard River"
"83239","010802060304","CT,MA","Great Brook"
"83240","010802070102","CT,MA","Sandy Brook"
"83241","010802070204","CT,MA","Lower West Branch Farmington River"
"83242","010802070502","CT,MA","Salmon Brook"
"83260","011000030306","CT","Pattagansett River-Frontal Long Island Sound"
"83261","011000040102","CT","Tenmile River"
"83262","011000040105","CT","Outlet Quinnipiac River"
"83285","011000040203","CT","East River-Frontal Guilford Harbor"
"83295","011000040204","CT","West River-Frontal Guilford Harbor"
"83296","011000040205","CT","Branford River"
"83297","011000040208","CT","Indian River-Frontal Long Island Sound"
"83298","011000040302","CT","West River"
"83299","011000040303","CT","Milford Harbor-Frontal Long Island Sound"
"83300","011000050304","CT","Hollenbeck River"
"83301","011000050603","CT","West Aspetuck River"
"83302","011000050702","CT","Bantam River"
"83357","011000050902","CT","Weekeepeemee River"
"83358","011000050802","CT","Limekiln Brook-Still River"
"83359","011000051001","CT","Pootatuck River"
"83360","011000051002","CT","Eightmile Brook"
"83361","011000051101","CT","West Branch Naugatuck River"
"83362","011000051104","CT","Branch Brook"
"83363","011000051105","CT","Northfield Brook-Naugatuck River"
"83364","011000051202","CT","Steele Brook"
"83365","011000051203","CT","Mad River"
"83420","011000051301","CT","Farmill River"
"83421","011000051205","CT","Long Meadow Pond Brook-Naugatuck River"
"83423","011000051206","CT","Little River"
"83424","011000060102","CT","Headwaters Saugatuck River"
"83425","011000060103","CT","Outlet Saugatuck River-Frontal Long Island Sound"
"83426","011000060202","CT","Norwalk River-Frontal Norwalk Harbor"
"83427","011000060301","CT","Pequonnock River-Frontal Long Island Sound"
