"","huc8","states","name"
"1","04080204","MI","Flint"
"2","04090003","MI","Clinton"
"3","04030106","MI,WI","Brule"
"4","18100204","CA,MX","Salton Sea"
"5","04020102","MI,WI","Ontonagon"
"6","04020104","MI","Sturgeon"
"7","04030107","MI","Michigamme"
"8","04020105","MI","Dead-Kelsey"
"9","18070303","CA","San Luis Rey-Escondido"
"10","18070304","CA,MX","San Diego"
"11","04160004","CN","Jackpine River-Frontal Lake Superior"
"12","04160002","CN","Black Sturgeon River-Frontal Lake Superior"
"13","04170004","CN","Magpie River-Frontal Lake Superior"
"14","04020201","MI","Betsy-Chocolay"
"15","08010300","MO","Town of Madrid-Saint Johns Bayou"
"16","12020003","TX","Lower Neches"
"17","18020162","CA","Upper Putah"
"18","18050001","CA","Suisun Bay"
"19","15030102","CA,NV","Piute Wash"
"20","18100100","CA","Southern Mojave"
"21","18030003","CA","Middle Kern-Upper Tehachapi-Grapevine"
"22","18060003","CA","Carrizo Plain"
"23","18060007","CA","Cuyama"
"24","18070102","CA","Santa Clara"
"25","18090206","CA","Antelope-Fremont Valleys"
"26","18020002","CA","Upper Pit"
"27","18080002","CA,NV","Madeline Plains"
"28","13100000","MX","Rio Conchos"
"29","13110000","MX","Rio Salado"
"30","13120000","MX","Rio San Juan"
"31","13040212","MX,TX","Amistad Reservoir"
"32","13080001","MX,TX","Elm-Sycamore"
"33","19010402","AK,CN","Bering Glacier"
"34","19010405","AK,CN","Yakutat Bay-Gulf of Alaska"
"35","19020203","AK","Prince William Sound"
"36","19020201","AK","Eastern Prince William Sound"
"37","19020104","AK","Lower Copper River"
"38","19020103","AK,CN","Chitina River"
"39","19070402","AK,CN","White River"
"40","17100203","OR","Wilson-Trusk-Nestuccu"
"41","17100204","OR","Siletz-Yaquina"
"42","17090003","OR","Upper Willamette"
"43","17090004","OR","Mckenzie"
"44","17090007","OR","Middle Willamette"
"45","17090008","OR","Yamhill"
"46","19020102","AK","Middle Copper River"
"47","19020101","AK","Upper Copper River"
"48","04030101","WI","Manitowoc-Sheboygan"
"49","04320000","CN","Mojikit Lake-Ogoki River"
"50","04330000","CN","Long Lake-Kenogami River"
"51","11080001","CO,NM","Canadian Headwaters"
"52","11080008","NM","Revuelto"
"53","11050001","KS,OK","Lower Cimarron-Eagle Chief"
"54","11100302","OK","Lower North Canadian"
"55","11110103","AR,OK","Illinois"
"56","11110105","AR,OK","Poteau"
"57","04030102","WI","Door-Kewaunee"
"58","04060104","MI","Betsie-Platte"
"59","04080202","MI","Pine"
"60","04060103","MI","Manistee"
"61","04060105","MI","Boardman-Charlevoix"
"62","04080201","MI","Tittabawassee"
"63","04080104","MI","Birch-Willow"
"64","04090001","CN,MI","St. Clair"
"65","04010101","CN,MN","Baptism-Brule"
"66","04060102","MI","Muskegon"
"67","04010201","MN,WI","St. Louis"
"68","04010301","MN,WI","Beartrap-Nemadji"
"69","04010302","MI,WI","Bad-Montreal"
"70","04030204","WI","Lower Fox"
"71","04190000","IL,IN,MI,WI","Lake Michigan"
"72","19030204","AK","Naknek"
"73","19030206","AK","Lake Iliamna"
"74","19020602","AK","Tuxedni-Kamishak Bays"
"75","19030205","AK","Lake Clark"
"76","19020800","AK","Cook Inlet"
"77","19020601","AK","Redoubt-Trading Bays"
"78","04060101","MI","Pere Marquette-White"
"79","19020504","AK","Yentna River"
"80","04090002","CN,MI","Lake St. Clair"
"81","04230006","CN","Ausable River-Frontal Lake Huron"
"82","04250001","CN","Cedar Creek-Frontal Lake Erie"
"83","04290003","NY","Oswegatchie"
"84","04290004","NY","Grass"
"85","04290006","NY","St. Regis"
"86","04290007","CN,NY","Salmon"
"87","04300104","NY","Ausable River"
"88","04300106","NY","Saranac River"
"89","04300101","NY,VT","Mettawee River"
"90","04300109","CN,NY,VT","Richelieu River"
"91","04300102","VT","Otter Creek"
"92","04300103","VT","Winooski River"
"93","04300105","VT","Lamoille River"
"94","04300107","CN,VT","Missiquoi River"
"95","04300202","CN,ME,NH,VT","St. Francois River"
"96","04050004","MI","Upper Grand"
"97","04100013","MI","Huron"
"98","04250002","CN","Talbot Creek-Frontal Lake Erie"
"99","04090007","CN","Lower Thames River"
"100","22030002","AS","Ofu Island-Olosega Island"
"101","05100204","KY","Upper Kentucky"
"102","05100205","KY","Lower Kentucky"
"103","01010009","CN,ME","Little River-Saint John River"
"104","01010011","CN,ME","Keswick River-Saint John River"
"105","01010004","CN,ME","Aroostook River"
"106","01010005","CN,ME","Meduxnekeag River"
"107","01010008","CN,ME","Saint Francis River-Saint John River"
"108","01010010","CN,ME","Becaguimec Stream-Saint John River"
"109","01050001","CN,ME","Saint Croix River"
"110","18010203","OR","Upper Klamath Lake"
"111","17100309","CA,OR","Applegate"
"112","17100311","CA,OR","Illinois"
"113","17100206","OR","Siuslaw"
"114","17100303","OR","Umpqua"
"115","17100305","OR","Coquille"
"116","17100306","OR","Sixes"
"117","17100308","OR","Middle Rogue"
"118","02070008","DC,MD,VA,WV","Middle Potomac-Catoctin"
"119","02070010","DC,MD,VA","Middle Potomac-Anacostia-Occoquan"
"120","02060006","MD","Patuxent"
"121","04090006","CN","Upper Thames River"
"122","04250004","CN","Upper Grand River"
"123","04160001","CN","Dog River-Frontal Lake Superior"
"124","18030009","CA","Upper Dry"
"125","18040001","CA","Middle San Joaquin-Lower Chowchilla"
"126","22030004","AS","Rose Atoll"
"127","22030005","AS","Swains Island"
"128","10090201","WY","Middle Fork Powder"
"129","10090202","WY","Upper Powder"
"130","10090205","WY","Crazy Woman"
"131","10120107","SD,WY","Beaver"
"132","22040005","UM","Jarvis Island"
"133","22040007","UM","Baker Island"
"134","09010006","CN,ND","Long Creek"
"135","10060007","CN,MT,ND","Brush Lake Closed Basin"
"136","08030205","MS","Yalobusha"
"137","10060003","CN,MT","Poplar"
"138","10060004","CN,MT","West Fork Poplar"
"139","10060006","CN,MT,ND","Big Muddy"
"140","04090004","CN,MI","Detroit"
"141","22040006","UM","Howland Island"
"142","22040003","UM","Kingman Reef"
"143","10120103","WY","Upper Cheyenne"
"144","22040004","UM","Palmyra Atoll"
"145","18100202","CA,MX","Carrizo Creek"
"146","16060015","CA,NV","Ivanpah-Pahrump Valleys"
"147","18090202","CA,NV","Upper Amargosa"
"148","19080106","AK,CN","Black River"
"149","19080108","AK,CN","Porcupine Flats-Porcupine River"
"150","04270105","CN","Ganaraska River-Frontal Lake Ontario"
"151","04280001","CN","Prince Edward County-Frontal Lake Ontario"
"152","10190003","CO","Middle South Platte-Cherry Creek"
"153","10190004","CO","Clear"
"154","10190006","CO","Big Thompson"
"155","10180009","NE,WY","Middle North Platte-Scotts Bluff"
"156","10190007","CO,WY","Cache La Poudre"
"157","10190008","CO,WY","Lone Tree-Owl"
"158","10190011","CO","Bijou"
"159","10180010","CO,WY","Upper Laramie"
"160","10180011","WY","Lower Laramie"
"161","22040002","UM","Johnston Atoll"
"162","03010203","NC,VA","Chowan"
"163","03030006","NC","Black"
"164","03030007","NC","Northeast Cape Fear"
"165","03010107","NC","Lower Roanoke"
"166","03020202","NC","Middle Neuse"
"167","03020103","NC","Lower Tar"
"168","03020201","NC","Upper Neuse"
"169","03020302","NC","New River"
"170","10130103","ND","Apple Creek"
"171","08040305","LA","Black"
"172","08050003","LA","Tensas"
"173","18020003","CA","Lower Pit"
"174","18020122","CA","East Branch North Fork Feather"
"175","18020123","CA","Middle Fork Feather"
"176","18080003","CA,NV","Honey-Eagle Lakes"
"177","18080001","CA,NV","Surprise Valley"
"178","18020001","CA,OR","Goose Lake"
"179","18100203","CA","San Felipe Creek"
"180","18070305","CA,MX","Cottonwood-Tijuana"
"181","22040001","UM","Wake Island"
"182","22030001","AS","Tutuila Island"
"183","11100203","OK,TX","Lower Wolf"
"184","11040006","KS,OK","Upper Cimarron-Liberal"
"185","11140202","LA","Middle Red-Coushatta"
"186","11140206","LA,TX","Bayou Pierre"
"187","11140207","LA","Lower Red-Lake Iatt"
"188","11140208","LA","Saline Bayou"
"189","16050203","NV","Carson Desert"
"190","16060002","NV","Gabbs Valley"
"191","16020301","NV,UT","Hamlin-Snake Valleys"
"192","16010101","UT,WY","Upper Bear"
"193","16050302","CA,NV","West Walker"
"194","16020303","UT","Tule Valley"
"195","16020310","UT","Great Salt Lake"
"196","16030005","UT","Lower Sevier"
"197","16030007","UT","Beaver Bottoms-Upper Beaver"
"198","16030009","UT","Sevier Lake"
"199","16020306","NV,UT","Southern Great Salt Lake Desert"
"200","16020308","NV,UT","Northern Great Salt Lake Desert"
"201","16030006","NV,UT","Escalante Desert"
"202","16010201","ID,UT","Bear Lake"
"203","16010102","ID,UT,WY","Central Bear"
"204","02040304","VA","Eastern Lower Delmarva"
"205","07060003","IA,WI","Grant-Little Maquoketa"
"206","09030001","CN,MN","Rainy Headwaters"
"207","22030003","AS","Ta'u Island"
"208","04040003","WI","Milwaukee"
"209","19010102","AK","Ketchikan"
"210","19010209","AK","Etolin-Zarembo-Wrangell Islands"
"211","19010212","AK","Baranof Island"
"212","19010211","AK","Chichagof Island"
"213","19010500","AK","Icy Strait-Chatham Strait"
"214","19010301","AK,CN","Lynn Canal"
"215","04290008","CN,NY","Raisin River-St. Lawrence River"
"216","04300201","CN,NY","Chateaugay-English"
"217","03090203","FL","Florida Bay-Florida Keys"
"218","01060002","ME,NH","Saco River"
"219","01080207","CT,MA","Farmington River"
"220","01100004","CT","Quinnipiac"
"221","01080205","CT,MA","Outlet Connecticut River"
"222","01020001","CN,ME","West Branch Penobscot River"
"223","01060001","ME","Presumpscot"
"224","01050004","CN,ME","Passamaquoddy Bay-Bay of Fundy"
"225","11010014","AR","Little Red"
"226","11110201","AR","Frog-Mulberry"
"227","11110202","AR","Dardanelle Reservoir"
"228","11010001","AR,MO","Beaver Reservoir"
"229","11100201","OK,TX","Lower Beaver"
"230","10030201","MT","Two Medicine"
