OBJECTID_2019,OBJECTID_2015,TNMID_2019,TNMID_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC12_2019,HUC12_2015,NAME_2019,Name_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,TOHUC_2019,ToHUC_2015,NONCONTRIBUTINGAREAACRES_2019,NonContributingAcres_2015,NONCONTRIBUTINGAREASQKM_2019,NonContributingSqKm_2015
98106,78382,{3D3D0D97-4FD3-448F-9B35-A2F484485013},{3D3D0D97-4FD3-448F-9B35-A2F484485013},32286.97,32287,130.66,130.76235,VT,VT,043001020103,041504020103,Homer Stone Brook-Otter Creek,Homer Stone Brook-Otter Creek,S,S,NM,NM,43001020109,41504020109,0,0,0,0
98107,78383,{D3B6DA54-396C-41C0-88AE-9AA5CAAB2CF9},{D3B6DA54-396C-41C0-88AE-9AA5CAAB2CF9},16841.83,16851,68.16,68.24655,VT,VT,043001020104,041504020104,Headwaters Mill Creek,Headwaters Mill Creek,S,S,NM,NM,43001020105,41504020105,0,0,0,0
98108,78384,{D47CFFBF-3A82-4A80-9D21-28CED09FB292},{D47CFFBF-3A82-4A80-9D21-28CED09FB292},28748.01,28748,116.34,116.4294,VT,VT,043001020105,041504020105,Mill Creek,Mill Creek,S,S,TF,TF,43001020109,41504020109,0,0,0,0
98109,78385,{14E13E1B-C8C6-40F9-B19A-D59F95404066},{14E13E1B-C8C6-40F9-B19A-D59F95404066},23421.55,23422,94.78,94.8591,VT,VT,043001020106,041504020106,Cold River,Cold River,S,S,NM,NM,43001020109,41504020109,0,0,0,0
98110,78386,{74E93422-F74E-4F0A-AAFD-8CA7BA9A310F},{74E93422-F74E-4F0A-AAFD-8CA7BA9A310F},39274.56,39275,158.94,159.06375,VT,VT,043001020107,041504020107,East Creek,East Creek,S,S,"DM,TF","DM,TF",43001020109,41504020109,0,0,0,0
98111,78387,{594528C2-16B9-4001-9594-FAE175111455},{594528C2-16B9-4001-9594-FAE175111455},30296.42,30296,122.61,122.6988,VT,VT,043001020108,041504020108,Clarendon River,Clarendon River,S,S,TF,TF,43001020109,41504020109,0,0,0,0
98112,78388,{EFD4A2D0-2B84-442C-851A-EE299A2981EB},{EFD4A2D0-2B84-442C-851A-EE299A2981EB},24812.85,24813,100.41,100.49265,VT,VT,043001020109,041504020109,Moon Brook-Otter Creek,Moon Brook-Otter Creek,S,S,TF,TF,43001020302,41504020302,0,0,0,0
98113,78389,{DC3C8B62-3F66-45C3-85F8-3372B9071F4C},{DC3C8B62-3F66-45C3-85F8-3372B9071F4C},31635.33,31635,128.02,128.12175,VT,VT,043001020201,041504020201,Headwaters New Haven River,Headwaters New Haven River,S,S,NM,NM,43001020203,41504020203,0,0,0,0
98114,78390,{C4765D96-661C-442A-A908-A2600C4065DD},{C4765D96-661C-442A-A908-A2600C4065DD},11607.63,11608,46.97,47.0124,VT,VT,043001020202,041504020202,Baldwin Creek,Baldwin Creek,S,S,NM,NM,43001020203,41504020203,0,0,0,0
98115,78391,{BA0A4091-654D-470D-BD9A-52D5B4F6CA95},{BA0A4091-654D-470D-BD9A-52D5B4F6CA95},31166.07,31166,126.12,126.2223,VT,VT,043001020203,041504020203,New Haven River,New Haven River,S,S,TF,TF,43001020307,41504020307,0,0,0,0
98116,78392,{91ED0F76-6FD5-4B53-93D1-72127C558A55},{91ED0F76-6FD5-4B53-93D1-72127C558A55},28346.12,28346,114.71,114.8013,VT,VT,043001020301,041504020301,Furnace Brook,Furnace Brook,S,S,TF,TF,43001020302,41504020302,0,0,0,0
98117,78393,{56D7525B-D2FB-428A-8359-07FC9F52A75F},{56D7525B-D2FB-428A-8359-07FC9F52A75F},22391.09,22391,90.61,90.68355,VT,VT,043001020302,041504020302,Bresee Mill Brook-Otter Creek,Bresee Mill Brook-Otter Creek,S,S,TF,TF,43001020304,41504020304,0,0,0,0
