TNMID_2019,TNMID_2015,LOADDATE_2019,LoadDate_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC10_2019,HUC10_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,NAME_2019,Name_2015
{B46D8D04-99CB-43D6-B361-E61B4E7058B3},{B46D8D04-99CB-43D6-B361-E61B4E7058B3},10/4/2019 10:49,10/24/2012 7:27,75718.59,75718,306.42,306.42,NY,NY,0430010602,0415040602,S,S,,,Sumner Brook-Saranac River,Sumner Brook-Saranac River
{F3082E4E-5F89-45E7-852D-3848FBB53515},{F3082E4E-5F89-45E7-852D-3848FBB53515},10/4/2019 10:49,10/24/2012 7:27,81580.16,81580,330.14,330.14,NY,NY,0430010603,0415040603,S,S,,,North Branch Saranac River,North Branch Saranac River
{89B36CB9-8605-4EE0-9A2A-A91BD1C29D39},{89B36CB9-8605-4EE0-9A2A-A91BD1C29D39},10/4/2019 10:49,10/24/2012 7:27,57557.07,57556,232.93,232.92,NY,NY,0430010604,0415040604,S,S,,,Union Falls Pond-Saranac River,Union Falls Pond-Saranac River
{947B5981-6DC9-408A-B714-3F9235035ED9},{947B5981-6DC9-408A-B714-3F9235035ED9},10/4/2019 10:49,10/24/2012 7:27,84737.35,84737,342.92,342.92,NY,NY,0430010605,0415040605,S,S,,,Saranac River,Saranac River
{5385C096-C6D7-49B1-8CB5-F13491A977A2},{5385C096-C6D7-49B1-8CB5-F13491A977A2},10/4/2019 10:49,10/24/2012 7:27,127272.12,127672,515.05,517.0716,"CN,VT","CN,VT",0430010701,0415040701,S,S,,,Headwaters Missisquoi River,Headwaters Missisquoi River
{C0B579E3-A98A-43F8-857A-2993A363F3AB},{C0B579E3-A98A-43F8-857A-2993A363F3AB},10/4/2019 10:49,10/24/2012 7:27,181985.17,181900,736.47,736.695,"CN,VT",CN,0430010702,0415040702,S,S,,,Sutton River-Missisquoi River,Riviere Sutton-Missisquoi River
{8414F65D-CEFE-460A-9346-8DEEFB0AC41A},{8414F65D-CEFE-460A-9346-8DEEFB0AC41A},10/4/2019 10:49,10/24/2012 7:27,53279.44,53470,215.61,216.5535,VT,VT,0430010703,0415040703,S,S,,,Trout River,Trout River
{59B6B1D0-064F-4CA9-9F43-8BDB5A1A413D},{59B6B1D0-064F-4CA9-9F43-8BDB5A1A413D},10/4/2019 10:49,10/24/2012 7:27,68810.98,68683,278.47,278.16615,VT,VT,0430010704,0415040704,S,S,,,Tyler Branch-Missisquoi River,Tyler Branch-Missisquoi River
{9605EA12-EB14-4473-97A3-2F5E608BBA7F},{9605EA12-EB14-4473-97A3-2F5E608BBA7F},10/4/2019 10:49,10/24/2012 7:27,76789.24,76839,310.76,311.19795,VT,VT,0430010705,0415040705,S,S,,,Black Creek,Black Creek
{C2288221-5B59-4A04-ACA4-10BAC7DB8317},{C2288221-5B59-4A04-ACA4-10BAC7DB8317},10/4/2019 10:49,10/24/2012 7:27,38943.31,38956,157.6,157.7718,VT,VT,0430010706,0415040706,S,S,,,Outlet Missisquoi River,Outlet Missisquoi River
{C66B9C41-5B66-4C5D-82F8-EA56D571EA69},{C66B9C41-5B66-4C5D-82F8-EA56D571EA69},10/4/2019 10:49,10/24/2012 7:27,77286.28,77286,312.77,312.77,"NY,VT",NY,0430010801,0415040801,S,S,,,South Bay-Lake Champlain,South Bay-Lake Champlain
{C733010B-0EF0-430D-8F59-FF5E4D33C75D},{C733010B-0EF0-430D-8F59-FF5E4D33C75D},10/4/2019 10:49,10/24/2012 7:27,167116.65,167116,676.3,676.3,NY,NY,0430010802,0415040802,S,S,,,Lake George-La Chute,Lake George-La Chute
{6C8006CF-F397-41B1-B282-3EC8453E05F7},{6C8006CF-F397-41B1-B282-3EC8453E05F7},10/4/2019 10:49,10/24/2012 7:27,122854.36,123007,497.17,497.79,"NY,VT","NY,VT",0430010803,0415040803,S,S,,,Putnam Creek-Lake Champlain,Putnam Creek-Lake Champlain
{1C90FF11-CCAC-41BF-8759-743479F59AA0},{1C90FF11-CCAC-41BF-8759-743479F59AA0},10/4/2019 10:49,10/24/2012 7:27,46613.53,46595,188.64,188.56,VT,VT,0430010804,0415040804,S,S,,,Little Otter Creek,Little Otter Creek
