"","X","huc12","states","name","areasqkm","areaacres"
"30834","30834","190104041802","CN","190104041802",45.15,11155.63
"30835","30835","190104041403","CN","190104041403",109.55,27070.39
"30836","30836","190104041402","CN","190104041402",77.36,19116.44
"30837","30837","190104041808","CN","190104041808",141.33,34922.53
"30838","30838","190104041701","AK,CN","190104041701",101.34,25041.38
"30839","30839","190104030605","CN","190104030605",100.74,24893.83
"30840","30840","190104030604","CN","190104030604",54.57,13484.31
"30841","30841","190104030602","CN","190104030602",110.05,27194.72
"30842","30842","190104030601","CN","190104030601",137.3,33927.77
"30843","30843","190104030802","CN","190104030802",164.73,40706.25
"30844","30844","190104030607","CN","190104030607",49.76,12294.87
"30846","30846","190104041006","CN","190104041006",125.23,30945.21
"30848","30848","190104041004","CN","190104041004",124.07,30657.72
"30963","30963","190104030801","CN","190104030801",129.48,31995.57
"31339","31339","170101041705","CN","Akokli Creek",51.54,12736.12
"31340","31340","170101041707","CN","La France Creek",56.07,13854.13
"31341","31341","170101041710","CN","Outlet Crawford Creek",77.33,19108.7
"31347","31347","170101041706","CN","Lockhart Creek",37.43,9249.29
"31348","31348","170101041708","CN","Gray Creek",42.02,10383.05
"31353","31353","170101041802","CN","Kokanee Creek",96.03,23728.39
"31357","31357","170101041804","CN","Duhamel Creek",57.09,14106.57
"31359","31359","170101041808","CN","Sproule Creek",52.22,12903.31
"31361","31361","170101070000","CN","Headwaters Kootenai River",5393.14,1332672.09
"31433","31433","170101010102","CN","Headwaters Bull River",99.85,24672.49
"31434","31434","170101010103","CN","Mount Herchmer-Bull River",58.12,14361.42
"31435","31435","170101010201","CN","Upper Galbraith Creek",44.62,11024.61
"31436","31436","170101010202","CN","Summer Creek",64.6,15963.55
"31437","31437","170101010204","CN","Tanglefoot Creek",123.32,30471.82
"31438","31438","170101010303","CN","Van Creek",38.25,9452
"31440","31440","170101010304","CN","Dibble Creek",33.9,8377.08
"31441","31441","170101010307","CN","Outlet Bull River",67.55,16692.76
"31442","31442","170101010407","CN","Suzanne Creek-Kootenay River",226.15,55883.21
"31443","31443","170101010501","CN","Headwaters Gold Creek",101.09,24980.05
"31444","31444","170101040802","CN","Kamma Creek",97.94,24200.66
"31445","31445","170101041404","CN","Pork Creek",47.1,11639.59
"31446","31446","170101040801","CN","Mallandaine Creek",99.47,24579.74
"31447","31447","170101041401","CN","Pinnacle Creek",93.05,22992.79
"31448","31448","170101041407","CN","Greasy Rocks Creek",48,11860.27
"31449","31449","170101041410","CN","Lower Carney Creek",99.11,24491.66
"31450","31450","170101041503","CN","Middle Keen Creek",53.49,13218.71
"31451","31451","170101041601","CN","Davis Creek",63.72,15745.76
"31452","31452","170101041603","CN","Campbell Creek",96.28,23792.2
"31453","31453","170101041604","CN","Powder Creek",49.14,12143.15
"31454","31454","170101041605","CN","Bernard Creek",60.33,14909.03
"31455","31455","170101041609","CN","Queens Creek-Kootenay Lake",667.67,164983.89
"31456","31456","170101041704","CN","Sanca Creek",110.01,27183.08
"31457","31457","170101041809","CN","Falls Creek",33.81,8354.07
"31458","31458","170101041904","CN","Little McPhee Creek-Kootenay River",133.36,32953.99
"31459","31459","170101060101","CN","Cadorna Creek",126.64,31293.45
"31460","31460","170101060102","CN","Headwaters Elk River",145.9,36053.57
"31461","31461","170101060106","CN","Forsyth Creek",113.41,28024.61
"31462","31462","170101060206","CN","Ewin Creek",86.68,21418.49
"31463","31463","170101060301","CN","South Line Creek",40.2,9934.59
"31464","31464","170101060302","CN","Line Creek",97.72,24147.5
"31475","31475","170101060401","CN","Bingay Creek",52.57,12991.33
"31476","31476","170101060501","CN","Andy Good Creek",33.95,8390.15
"31477","31477","170101060502","CN","Headwaters Michel Creek",67.63,16712.41
"31478","31478","170101060503","CN","Upper Michel Creek",49.45,12220.47
"31479","31479","170101060403","CN","Lowe Creek-Elk River",149.46,36932.05
"31481","31481","170101060506","CN","Headwaters Alexander Creek",69.58,17193.95
"31482","31482","170101060507","CN","Outlet Alexander Creek",115.33,28498.42
"31483","31483","170101060508","CN","Lower Michel Creek",97.9,24192.55
"31484","31484","170101041807","CN","Canada",89.06,22007.71
"31490","31490","170101090000","CN","Duncan River",4763.41,1177063.06
"32979","32979","010100110508","CN","Mactaquac Park Arm",69.28,17120.29
"32982","32982","010100110501","CN","Coac Stream-Saint John River",68.72,16980.55
"33452","33452","010100110401","CN","Sullivan Creek-Saint John River",120.84,29860.2
"33540","33540","010100080908","CN","Beaver Creek",33.4,8252.71
"33544","33544","010100070409","CN,ME","Trout River-Big Black River",93.22,23035.49
